Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,87.89mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,134.765625
2,134.765625
3,136.718750
4,134.765625
5,134.765625
6,134.765625
7,134.765625
8,136.718750
9,134.765625
10,134.765625
11,136.718750
12,134.765625
13,134.765625
14,134.765625
15,134.765625
16,132.812500
17,132.812500
18,134.765625
19,132.812500
20,134.765625
21,130.859375
22,134.765625
23,132.812500
24,130.859375
25,132.812500
26,130.859375
27,130.859375
28,130.859375
29,130.859375
30,130.859375
31,130.859375
32,130.859375
33,130.859375
34,130.859375
35,130.859375
36,130.859375
37,130.859375
38,130.859375
39,115.234375
40,130.859375
41,128.906250
42,132.812500
43,130.859375
44,130.859375
45,130.859375
46,130.859375
47,130.859375
48,130.859375
49,130.859375
50,130.859375
51,130.859375
52,130.859375
53,130.859375
54,128.906250
55,123.046875
56,130.859375
57,136.718750
58,130.859375
59,126.953125
60,130.859375
61,130.859375
62,130.859375
63,126.953125
64,126.953125
65,119.140625
66,126.953125
67,130.859375
68,126.953125
69,126.953125
70,126.953125
71,126.953125
72,126.953125
73,126.953125
74,126.953125
75,126.953125
76,125.000000
77,126.953125
78,126.953125
79,126.953125
80,126.953125
81,126.953125
82,126.953125
83,123.046875
84,125.000000
85,123.046875
86,123.046875
87,125.000000
88,125.000000
89,125.000000
90,123.046875
91,126.953125
92,126.953125
93,123.046875
94,125.000000
95,123.046875
96,126.953125
97,125.000000
98,125.000000
99,126.953125
100,123.046875
101,125.000000
102,123.046875
103,125.000000
104,125.000000
105,123.046875
106,125.000000
107,123.046875
108,123.046875
109,125.000000
110,123.046875
111,123.046875
112,123.046875
113,123.046875
114,123.046875
115,121.093750
116,121.093750
117,123.046875
118,123.046875
119,121.093750
120,121.093750
121,121.093750
122,121.093750
123,121.093750
124,121.093750
125,138.671875
126,119.140625
127,121.093750
128,121.093750
129,119.140625
130,121.093750
131,117.187500
132,121.093750
133,119.140625
134,121.093750
135,121.093750
136,117.187500
137,121.093750
138,121.093750
139,121.093750
140,121.093750
141,123.046875
142,119.140625
143,121.093750
144,121.093750
145,121.093750
146,123.046875
147,121.093750
148,121.093750
149,121.093750
150,121.093750
151,123.046875
152,123.046875
153,123.046875
154,123.046875
155,121.093750
156,123.046875
157,123.046875
158,123.046875
159,123.046875
160,121.093750
161,123.046875
162,123.046875
163,119.140625
164,123.046875
165,123.046875
166,123.046875
167,123.046875
168,130.859375
169,121.093750
170,123.046875
171,121.093750
172,123.046875
173,121.093750
174,121.093750
175,123.046875
176,121.093750
177,107.421875
178,121.093750
179,117.187500
180,121.093750
181,119.140625
182,123.046875
183,121.093750
184,130.859375
185,123.046875
186,121.093750
187,123.046875
188,123.046875
189,123.046875
190,121.093750
191,123.046875
192,123.046875
193,123.046875
194,123.046875
195,123.046875
196,123.046875
197,121.093750
198,123.046875
199,123.046875
200,123.046875
201,123.046875
202,123.046875
203,123.046875
204,125.000000
205,123.046875
206,125.000000
207,123.046875
208,123.046875
209,123.046875
210,123.046875
211,125.000000
212,121.093750
213,125.000000
214,123.046875
215,123.046875
216,123.046875
217,123.046875
218,123.046875
219,123.046875
220,123.046875
221,123.046875
222,121.093750
223,125.000000
224,123.046875
225,123.046875
226,121.093750
227,121.093750
228,121.093750
229,121.093750
230,123.046875
231,121.093750
232,123.046875
233,121.093750
234,123.046875
235,121.093750
236,123.046875
237,123.046875
238,123.046875
239,123.046875
240,121.093750
241,107.421875
242,121.093750
243,113.281250
244,123.046875
245,123.046875
246,123.046875
247,123.046875
248,123.046875
249,123.046875
250,123.046875
251,123.046875
252,123.046875
253,123.046875
254,119.140625
255,125.000000
256,123.046875
257,126.953125
258,123.046875
259,123.046875
260,125.000000
261,123.046875
262,123.046875
263,123.046875
264,121.093750
265,123.046875
266,123.046875
267,123.046875
268,123.046875
269,123.046875
270,119.140625
271,123.046875
272,123.046875
273,123.046875
274,125.000000
275,123.046875
276,121.093750
277,125.000000
278,123.046875
279,123.046875
280,123.046875
281,123.046875
282,125.000000
283,125.000000
284,123.046875
285,125.000000
286,132.812500
287,125.000000
288,125.000000
289,125.000000
290,123.046875
291,125.000000
292,123.046875
293,125.000000
294,123.046875
295,125.000000
296,125.000000
297,123.046875
298,123.046875
299,123.046875
300,125.000000
301,123.046875
302,130.859375
303,126.953125
304,123.046875
305,125.000000
306,123.046875
307,121.093750
308,123.046875
309,123.046875
310,123.046875
311,123.046875
312,123.046875
313,123.046875
314,121.093750
315,123.046875
316,121.093750
317,123.046875
318,121.093750
319,121.093750
320,121.093750
321,123.046875
322,123.046875
323,121.093750
324,123.046875
325,123.046875
326,123.046875
327,123.046875
328,123.046875
329,123.046875
330,123.046875
331,121.093750
332,123.046875
333,123.046875
334,123.046875
335,125.000000
336,123.046875
337,125.000000
338,125.000000
339,126.953125
340,125.000000
341,126.953125
342,125.000000
343,125.000000
344,125.000000
345,126.953125
346,126.953125
347,125.000000
348,126.953125
349,126.953125
350,126.953125
351,125.000000
352,126.953125
353,128.906250
354,126.953125
355,130.859375
356,126.953125
357,130.859375
358,126.953125
359,126.953125
360,130.859375
361,119.140625
362,130.859375
363,128.906250
364,130.859375
365,130.859375
366,130.859375
367,138.671875
368,128.906250
369,130.859375
370,130.859375
371,130.859375
372,130.859375
373,130.859375
374,130.859375
375,130.859375
376,130.859375
377,130.859375
378,130.859375
379,132.812500
380,130.859375
381,130.859375
382,130.859375
383,132.812500
384,130.859375
385,132.812500
386,130.859375
387,130.859375
388,130.859375
389,130.859375
390,130.859375
391,130.859375
392,132.812500
393,130.859375
394,132.812500
395,130.859375
396,130.859375
397,134.765625
398,130.859375
399,130.859375
400,132.812500
401,130.859375
402,132.812500
403,130.859375
404,138.671875
405,132.812500
406,132.812500
407,132.812500
408,130.859375
409,132.812500
410,130.859375
411,130.859375
412,130.859375
413,130.859375
414,130.859375
415,126.953125
416,130.859375
417,125.000000
418,126.953125
419,128.906250
420,126.953125
421,130.859375
422,126.953125
423,126.953125
424,126.953125
425,126.953125
426,130.859375
427,126.953125
428,126.953125
429,125.000000
430,125.000000
431,123.046875
432,125.000000
433,130.859375
434,126.953125
435,130.859375
436,126.953125
437,126.953125
438,130.859375
439,126.953125
440,130.859375
441,130.859375
442,130.859375
443,130.859375
444,130.859375
445,130.859375
446,132.812500
447,132.812500
448,130.859375
449,132.812500
450,132.812500
451,132.812500
452,132.812500
453,130.859375
454,134.765625
455,132.812500
456,134.765625
457,132.812500
458,134.765625
459,134.765625
460,134.765625
461,134.765625
462,134.765625
463,138.671875
464,130.859375
465,136.718750
466,134.765625
467,134.765625
468,132.812500
469,138.671875
470,132.812500
471,134.765625
472,136.718750
473,132.812500
474,136.718750
475,134.765625
476,138.671875
477,136.718750
478,134.765625
479,136.718750
480,138.671875
481,136.718750
482,138.671875
483,130.859375
484,138.671875
485,138.671875
486,136.718750
487,138.671875
488,138.671875
489,138.671875
490,138.671875
491,138.671875
492,138.671875
493,138.671875
494,140.625000
495,138.671875
496,142.578125
497,142.578125
498,140.625000
499,142.578125
500,140.625000
501,142.578125
502,142.578125
503,142.578125
504,142.578125
505,142.578125
506,142.578125
507,140.625000
508,142.578125
509,142.578125
510,142.578125
511,144.531250
512,142.578125
513,146.484375
514,140.625000
515,142.578125
516,142.578125
517,142.578125
518,146.484375
519,138.671875
520,142.578125
521,142.578125
522,142.578125
523,142.578125
524,142.578125
525,142.578125
526,140.625000
527,146.484375
528,140.625000
529,144.531250
530,142.578125
531,140.625000
532,146.484375
533,148.437500
534,142.578125
535,142.578125
536,142.578125
537,142.578125
538,142.578125
539,142.578125
540,140.625000
541,146.484375
542,142.578125
543,142.578125
544,140.625000
545,142.578125
546,142.578125
547,142.578125
548,144.531250
549,130.859375
550,146.484375
551,146.484375
552,144.531250
553,146.484375
554,144.531250
555,146.484375
556,146.484375
557,146.484375
558,142.578125
559,142.578125
560,146.484375
561,142.578125
562,142.578125
563,140.625000
564,142.578125
565,142.578125
566,142.578125
567,142.578125
568,140.625000
569,140.625000
570,140.625000
571,138.671875
572,142.578125
573,138.671875
574,140.625000
575,138.671875
576,138.671875
577,138.671875
578,134.765625
579,136.718750
580,134.765625
581,134.765625
582,136.718750
583,136.718750
584,132.812500
585,132.812500
586,134.765625
587,130.859375
588,134.765625
589,134.765625
590,134.765625
591,136.718750
592,130.859375
593,134.765625
594,132.812500
595,134.765625
596,138.671875
597,132.812500
598,136.718750
599,132.812500
600,134.765625
601,134.765625
602,134.765625
603,134.765625
604,132.812500
605,134.765625
606,130.859375
607,132.812500
608,136.718750
609,136.718750
610,134.765625
611,136.718750
612,134.765625
613,132.812500
614,138.671875
615,132.812500
616,134.765625
617,136.718750
618,134.765625
619,138.671875
620,134.765625
621,138.671875
622,136.718750
623,134.765625
624,136.718750
625,134.765625
626,138.671875
627,134.765625
628,136.718750
629,136.718750
630,132.812500
631,136.718750
632,136.718750
633,138.671875
634,134.765625
635,136.718750
636,136.718750
637,132.812500
638,136.718750
639,132.812500
640,136.718750
641,130.859375
642,134.765625
643,123.046875
644,134.765625
645,134.765625
646,132.812500
647,132.812500
648,132.812500
649,134.765625
650,132.812500
651,142.578125
652,132.812500
653,132.812500
654,132.812500
