Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,56.64mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,15.625000
2,15.625000
3,13.671875
4,13.671875
5,17.578125
6,13.671875
7,17.578125
8,13.671875
9,13.671875
10,17.578125
11,9.765625
12,9.765625
13,11.718750
14,13.671875
15,13.671875
16,15.625000
17,13.671875
18,13.671875
19,13.671875
20,17.578125
21,17.578125
22,17.578125
23,13.671875
24,17.578125
25,13.671875
26,19.531250
27,25.390625
28,19.531250
29,13.671875
30,17.578125
31,17.578125
32,21.484375
33,21.484375
34,21.484375
35,21.484375
36,21.484375
37,21.484375
38,17.578125
39,21.484375
40,21.484375
41,19.531250
42,21.484375
43,21.484375
44,17.578125
45,21.484375
46,19.531250
47,19.531250
48,17.578125
49,21.484375
50,17.578125
51,21.484375
52,15.625000
53,23.437500
54,19.531250
55,17.578125
56,21.484375
57,21.484375
58,17.578125
59,21.484375
60,17.578125
61,29.296875
62,21.484375
63,21.484375
64,19.531250
65,23.437500
66,21.484375
67,23.437500
68,21.484375
69,23.437500
70,21.484375
71,21.484375
72,21.484375
73,21.484375
74,23.437500
75,21.484375
76,27.343750
77,21.484375
78,25.390625
79,21.484375
80,23.437500
81,23.437500
82,23.437500
83,21.484375
84,25.390625
85,27.343750
86,21.484375
87,23.437500
88,21.484375
89,25.390625
90,21.484375
91,23.437500
92,23.437500
93,23.437500
94,23.437500
95,23.437500
96,25.390625
97,21.484375
98,23.437500
99,23.437500
100,25.390625
101,23.437500
102,23.437500
103,21.484375
104,27.343750
105,21.484375
106,27.343750
107,23.437500
108,27.343750
109,21.484375
110,25.390625
111,25.390625
112,25.390625
113,23.437500
114,23.437500
115,23.437500
116,23.437500
117,25.390625
118,23.437500
119,25.390625
120,23.437500
121,27.343750
122,21.484375
123,25.390625
124,23.437500
125,25.390625
126,21.484375
127,27.343750
128,27.343750
129,44.921875
130,25.390625
131,27.343750
132,23.437500
133,25.390625
134,25.390625
135,27.343750
136,23.437500
137,27.343750
138,23.437500
139,27.343750
140,27.343750
141,25.390625
142,29.296875
143,27.343750
144,27.343750
145,27.343750
146,33.203125
147,29.296875
148,29.296875
149,25.390625
150,29.296875
151,27.343750
152,29.296875
153,27.343750
154,27.343750
155,27.343750
156,29.296875
157,27.343750
158,29.296875
159,29.296875
160,27.343750
161,27.343750
162,29.296875
163,25.390625
164,31.250000
165,25.390625
166,29.296875
167,27.343750
168,29.296875
169,21.484375
170,25.390625
171,27.343750
172,37.109375
173,27.343750
174,27.343750
175,29.296875
176,25.390625
177,27.343750
178,23.437500
179,27.343750
180,23.437500
181,27.343750
182,27.343750
183,29.296875
184,21.484375
185,29.296875
186,25.390625
187,27.343750
188,25.390625
189,27.343750
190,25.390625
191,27.343750
192,25.390625
193,27.343750
194,23.437500
195,25.390625
196,27.343750
197,25.390625
198,27.343750
199,27.343750
200,23.437500
201,25.390625
202,23.437500
203,23.437500
204,23.437500
205,27.343750
206,25.390625
207,27.343750
208,23.437500
209,23.437500
210,25.390625
211,25.390625
212,25.390625
213,23.437500
214,23.437500
215,25.390625
216,25.390625
217,23.437500
218,25.390625
219,23.437500
220,33.203125
221,23.437500
222,25.390625
223,23.437500
224,25.390625
225,21.484375
226,25.390625
227,23.437500
228,27.343750
229,23.437500
230,25.390625
231,27.343750
232,23.437500
233,27.343750
234,23.437500
235,25.390625
236,23.437500
237,25.390625
238,27.343750
239,25.390625
240,23.437500
241,27.343750
242,21.484375
243,23.437500
244,23.437500
245,23.437500
246,5.859375
247,27.343750
248,21.484375
249,23.437500
250,21.484375
251,21.484375
252,21.484375
253,25.390625
254,21.484375
255,27.343750
256,21.484375
257,21.484375
258,17.578125
259,23.437500
260,21.484375
261,25.390625
262,21.484375
263,21.484375
264,21.484375
265,23.437500
266,21.484375
267,21.484375
268,21.484375
269,21.484375
270,21.484375
271,23.437500
272,27.343750
273,21.484375
274,25.390625
275,17.578125
276,21.484375
277,21.484375
278,25.390625
279,21.484375
280,23.437500
281,23.437500
282,27.343750
283,21.484375
284,27.343750
285,21.484375
286,23.437500
287,21.484375
288,21.484375
289,23.437500
290,23.437500
291,23.437500
292,27.343750
293,23.437500
294,23.437500
295,23.437500
296,23.437500
297,21.484375
298,25.390625
299,21.484375
300,21.484375
301,23.437500
302,21.484375
303,23.437500
304,21.484375
305,23.437500
306,23.437500
307,23.437500
308,21.484375
309,23.437500
310,23.437500
311,23.437500
312,25.390625
313,25.390625
314,25.390625
315,25.390625
316,21.484375
317,27.343750
318,27.343750
319,23.437500
320,31.250000
321,25.390625
322,23.437500
323,27.343750
324,23.437500
325,27.343750
326,21.484375
327,25.390625
328,25.390625
329,27.343750
330,23.437500
331,25.390625
332,21.484375
333,23.437500
334,25.390625
335,27.343750
336,23.437500
337,27.343750
338,21.484375
339,31.250000
340,21.484375
341,27.343750
342,21.484375
343,29.296875
344,21.484375
345,25.390625
346,25.390625
347,25.390625
348,21.484375
349,29.296875
350,21.484375
351,31.250000
352,21.484375
353,23.437500
354,21.484375
355,25.390625
356,17.578125
357,25.390625
358,23.437500
359,21.484375
360,25.390625
361,21.484375
362,23.437500
363,21.484375
364,23.437500
365,41.015625
366,23.437500
367,21.484375
368,21.484375
369,23.437500
370,23.437500
371,23.437500
372,21.484375
373,23.437500
374,21.484375
375,23.437500
376,21.484375
377,23.437500
378,21.484375
379,25.390625
380,11.718750
381,25.390625
382,21.484375
383,23.437500
384,21.484375
385,23.437500
386,21.484375
387,25.390625
388,23.437500
389,25.390625
390,21.484375
391,23.437500
392,21.484375
393,23.437500
394,23.437500
395,23.437500
396,21.484375
397,23.437500
398,21.484375
399,21.484375
400,21.484375
401,25.390625
402,23.437500
403,21.484375
404,21.484375
405,21.484375
406,23.437500
407,21.484375
408,21.484375
409,21.484375
410,33.203125
411,19.531250
412,23.437500
413,21.484375
414,23.437500
415,17.578125
416,25.390625
417,21.484375
418,21.484375
419,21.484375
420,25.390625
421,21.484375
422,21.484375
423,23.437500
424,23.437500
425,21.484375
426,21.484375
427,21.484375
428,23.437500
429,21.484375
430,21.484375
431,25.390625
432,23.437500
433,23.437500
434,21.484375
435,25.390625
436,21.484375
437,23.437500
438,21.484375
439,21.484375
440,21.484375
441,25.390625
442,21.484375
443,25.390625
444,21.484375
445,21.484375
446,21.484375
447,23.437500
448,21.484375
449,21.484375
450,19.531250
451,21.484375
452,29.296875
453,21.484375
454,21.484375
455,17.578125
456,19.531250
457,19.531250
458,17.578125
459,15.625000
460,17.578125
461,15.625000
462,17.578125
463,17.578125
464,21.484375
465,17.578125
466,17.578125
467,17.578125
468,7.812500
469,15.625000
470,21.484375
471,17.578125
472,19.531250
473,17.578125
474,13.671875
475,17.578125
476,21.484375
477,15.625000
478,21.484375
479,21.484375
480,21.484375
481,17.578125
482,21.484375
483,17.578125
484,19.531250
485,21.484375
486,17.578125
487,17.578125
488,17.578125
489,21.484375
490,17.578125
491,13.671875
492,21.484375
493,21.484375
494,13.671875
495,15.625000
496,17.578125
497,17.578125
498,17.578125
499,21.484375
500,21.484375
501,21.484375
502,17.578125
503,21.484375
504,15.625000
505,21.484375
506,17.578125
507,21.484375
508,17.578125
509,19.531250
510,17.578125
511,21.484375
512,17.578125
513,21.484375
514,15.625000
515,21.484375
516,21.484375
517,21.484375
518,21.484375
519,19.531250
520,23.437500
521,17.578125
522,19.531250
523,21.484375
524,21.484375
525,17.578125
526,33.203125
527,13.671875
528,21.484375
529,17.578125
530,21.484375
531,21.484375
532,21.484375
533,17.578125
534,19.531250
535,21.484375
536,15.625000
537,21.484375
538,19.531250
539,21.484375
540,19.531250
541,19.531250
542,21.484375
543,17.578125
544,15.625000
545,21.484375
546,19.531250
547,21.484375
548,17.578125
549,17.578125
550,19.531250
551,21.484375
552,17.578125
553,21.484375
554,17.578125
555,21.484375
556,19.531250
557,21.484375
558,17.578125
559,21.484375
560,13.671875
561,21.484375
562,15.625000
563,21.484375
564,17.578125
565,19.531250
566,17.578125
567,17.578125
568,17.578125
569,21.484375
570,17.578125
571,15.625000
572,17.578125
573,17.578125
574,21.484375
575,17.578125
576,17.578125
577,17.578125
578,21.484375
579,15.625000
580,21.484375
581,15.625000
582,21.484375
583,17.578125
584,21.484375
585,15.625000
586,17.578125
587,19.531250
588,21.484375
589,15.625000
590,21.484375
591,17.578125
592,21.484375
593,15.625000
594,21.484375
595,21.484375
596,21.484375
597,17.578125
598,19.531250
599,15.625000
600,5.859375
601,15.625000
602,21.484375
603,17.578125
604,21.484375
605,15.625000
606,21.484375
607,15.625000
608,37.109375
609,17.578125
610,21.484375
611,19.531250
612,21.484375
613,21.484375
614,15.625000
615,21.484375
616,17.578125
617,19.531250
618,17.578125
619,21.484375
620,15.625000
621,21.484375
622,17.578125
623,23.437500
624,27.343750
625,21.484375
626,21.484375
627,21.484375
628,19.531250
629,17.578125
630,21.484375
631,23.437500
632,21.484375
633,21.484375
634,23.437500
635,21.484375
636,21.484375
637,21.484375
638,21.484375
639,17.578125
640,21.484375
641,17.578125
642,21.484375
643,21.484375
644,21.484375
645,21.484375
646,21.484375
647,15.625000
648,21.484375
649,15.625000
650,21.484375
651,17.578125
652,21.484375
653,21.484375
654,23.437500
