Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,78.13mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,-54.687500
2,-54.687500
3,-50.781250
4,-54.687500
5,-54.687500
6,-50.781250
7,-56.640625
8,-54.687500
9,-54.687500
10,-52.734375
11,-52.734375
12,-54.687500
13,-52.734375
14,-50.781250
15,-56.640625
16,-52.734375
17,-50.781250
18,-52.734375
19,-52.734375
20,-56.640625
21,-54.687500
22,-52.734375
23,-52.734375
24,-52.734375
25,-56.640625
26,-52.734375
27,-52.734375
28,-54.687500
29,-54.687500
30,-54.687500
31,-54.687500
32,-54.687500
33,-56.640625
34,-52.734375
35,-56.640625
36,-56.640625
37,-54.687500
38,-54.687500
39,-54.687500
40,-54.687500
41,-52.734375
42,-52.734375
43,-54.687500
44,-54.687500
45,-48.828125
46,-54.687500
47,-50.781250
48,-52.734375
49,-52.734375
50,-54.687500
51,-54.687500
52,-54.687500
53,-54.687500
54,-56.640625
55,-52.734375
56,-50.781250
57,-54.687500
58,-50.781250
59,-56.640625
60,-52.734375
61,-54.687500
62,-52.734375
63,-54.687500
64,-54.687500
65,-52.734375
66,-56.640625
67,-52.734375
68,-56.640625
69,-56.640625
70,-52.734375
71,-54.687500
72,-52.734375
73,-56.640625
74,-52.734375
75,-54.687500
76,-46.875000
77,-54.687500
78,-56.640625
79,-52.734375
80,-54.687500
81,-56.640625
82,-54.687500
83,-54.687500
84,-56.640625
85,-52.734375
86,-56.640625
87,-52.734375
88,-56.640625
89,-54.687500
90,-54.687500
91,-54.687500
92,-54.687500
93,-52.734375
94,-50.781250
95,-50.781250
96,-52.734375
97,-52.734375
98,-50.781250
99,-54.687500
100,-52.734375
101,-52.734375
102,-50.781250
103,-52.734375
104,-50.781250
105,-50.781250
106,-54.687500
107,-56.640625
108,-50.781250
109,-54.687500
110,-52.734375
111,-50.781250
112,-52.734375
113,-48.828125
114,-52.734375
115,-50.781250
116,-48.828125
117,-52.734375
118,-54.687500
119,-54.687500
120,-52.734375
121,-52.734375
122,-52.734375
123,-48.828125
124,-56.640625
125,-48.828125
126,-54.687500
127,-52.734375
128,-50.781250
129,-54.687500
130,-52.734375
131,-52.734375
132,-54.687500
133,-48.828125
134,-52.734375
135,-52.734375
136,-52.734375
137,-54.687500
138,-50.781250
139,-52.734375
140,-54.687500
141,-50.781250
142,-54.687500
143,-48.828125
144,-50.781250
145,-52.734375
146,-50.781250
147,-52.734375
148,-50.781250
149,-52.734375
150,-50.781250
151,-52.734375
152,-50.781250
153,-48.828125
154,-52.734375
155,-52.734375
156,-56.640625
157,-46.875000
158,-48.828125
159,-54.687500
160,-48.828125
161,-48.828125
162,-48.828125
163,-50.781250
164,-52.734375
165,-48.828125
166,-52.734375
167,-48.828125
168,-52.734375
169,-50.781250
170,-46.875000
171,-54.687500
172,-50.781250
173,-54.687500
174,-54.687500
175,-48.828125
176,-54.687500
177,-52.734375
178,-50.781250
179,-50.781250
180,-46.875000
181,-52.734375
182,-52.734375
183,-48.828125
184,-50.781250
185,-56.640625
186,-48.828125
187,-52.734375
188,-52.734375
189,-48.828125
190,-52.734375
191,-48.828125
192,-48.828125
193,-52.734375
194,-48.828125
195,-50.781250
196,-48.828125
197,-50.781250
198,-48.828125
199,-48.828125
200,-52.734375
201,-48.828125
202,-54.687500
203,-50.781250
204,-48.828125
205,-56.640625
206,-48.828125
207,-48.828125
208,-50.781250
209,-48.828125
210,-50.781250
211,-48.828125
212,-52.734375
213,-50.781250
214,-48.828125
215,-50.781250
216,-50.781250
217,-48.828125
218,-52.734375
219,-48.828125
220,-48.828125
221,-48.828125
222,-46.875000
223,-52.734375
224,-48.828125
225,-48.828125
226,-48.828125
227,-50.781250
228,-50.781250
229,-48.828125
230,-50.781250
231,-48.828125
232,-48.828125
233,-52.734375
234,-48.828125
235,-48.828125
236,-50.781250
237,-48.828125
238,-48.828125
239,-50.781250
240,-50.781250
241,-50.781250
242,-48.828125
243,-48.828125
244,-48.828125
245,-46.875000
246,-52.734375
247,-48.828125
248,-52.734375
249,-52.734375
250,-48.828125
251,-50.781250
252,-48.828125
253,-48.828125
254,-54.687500
255,-48.828125
256,-50.781250
257,-48.828125
258,-48.828125
259,-48.828125
260,-48.828125
261,-48.828125
262,-48.828125
263,-48.828125
264,-52.734375
265,-48.828125
266,-50.781250
267,-48.828125
268,-48.828125
269,-48.828125
270,-48.828125
271,-50.781250
272,-48.828125
273,-46.875000
274,-66.406250
275,-48.828125
276,-48.828125
277,-48.828125
278,-48.828125
279,-48.828125
280,-48.828125
281,-52.734375
282,-48.828125
283,-50.781250
284,-48.828125
285,-64.453125
286,-48.828125
287,-46.875000
288,-48.828125
289,-50.781250
290,-50.781250
291,-48.828125
292,-52.734375
293,-48.828125
294,-56.640625
295,-48.828125
296,-48.828125
297,-52.734375
298,-48.828125
299,-52.734375
300,-48.828125
301,-48.828125
302,-48.828125
303,-48.828125
304,-48.828125
305,-46.875000
306,-48.828125
307,-46.875000
308,-46.875000
309,-48.828125
310,-48.828125
311,-50.781250
312,-50.781250
313,-48.828125
314,-48.828125
315,-48.828125
316,-48.828125
317,-50.781250
318,-48.828125
319,-48.828125
320,-46.875000
321,-46.875000
322,-48.828125
323,-48.828125
324,-48.828125
325,-50.781250
326,-48.828125
327,-50.781250
328,-46.875000
329,-46.875000
330,-48.828125
331,-48.828125
332,-48.828125
333,-50.781250
334,-48.828125
335,-50.781250
336,-48.828125
337,-48.828125
338,-48.828125
339,-44.921875
340,-48.828125
341,-48.828125
342,-48.828125
343,-52.734375
344,-48.828125
345,-50.781250
346,-50.781250
347,-46.875000
348,-48.828125
349,-46.875000
350,-48.828125
351,-48.828125
352,-48.828125
353,-48.828125
354,-48.828125
355,-48.828125
356,-48.828125
357,-46.875000
358,-48.828125
359,-44.921875
360,-48.828125
361,-52.734375
362,-46.875000
363,-46.875000
364,-46.875000
365,-48.828125
366,-48.828125
367,-44.921875
368,-48.828125
369,-44.921875
370,-46.875000
371,-48.828125
372,-44.921875
373,-48.828125
374,-48.828125
375,-48.828125
376,-48.828125
377,-48.828125
378,-48.828125
379,-48.828125
380,-46.875000
381,-48.828125
382,-46.875000
383,-48.828125
384,-46.875000
385,-46.875000
386,-48.828125
387,-46.875000
388,-46.875000
389,-48.828125
390,-44.921875
391,-50.781250
392,-44.921875
393,-48.828125
394,-46.875000
395,-44.921875
396,-48.828125
397,-46.875000
398,-48.828125
399,-48.828125
400,-44.921875
401,-44.921875
402,-46.875000
403,-48.828125
404,-46.875000
405,-46.875000
406,-48.828125
407,-46.875000
408,-48.828125
409,-44.921875
410,-48.828125
411,-46.875000
412,-48.828125
413,-50.781250
414,-31.250000
415,-48.828125
416,-48.828125
417,-46.875000
418,-50.781250
419,-48.828125
420,-48.828125
421,-48.828125
422,-46.875000
423,-48.828125
424,-46.875000
425,-48.828125
426,-46.875000
427,-46.875000
428,-48.828125
429,-44.921875
430,-48.828125
431,-46.875000
432,-48.828125
433,-48.828125
434,-48.828125
435,-44.921875
436,-48.828125
437,-46.875000
438,-48.828125
439,-48.828125
440,-48.828125
441,-46.875000
442,-48.828125
443,-46.875000
444,-50.781250
445,-46.875000
446,-46.875000
447,-48.828125
448,-46.875000
449,-48.828125
450,-44.921875
451,-48.828125
452,-48.828125
453,-44.921875
454,-41.015625
455,-48.828125
456,-48.828125
457,-48.828125
458,-46.875000
459,-48.828125
460,-48.828125
461,-50.781250
462,-48.828125
463,-46.875000
464,-48.828125
465,-48.828125
466,-48.828125
467,-50.781250
468,-44.921875
469,-46.875000
470,-48.828125
471,-48.828125
472,-52.734375
473,-48.828125
474,-50.781250
475,-48.828125
476,-48.828125
477,-52.734375
478,-46.875000
479,-50.781250
480,-48.828125
481,-52.734375
482,-48.828125
483,-52.734375
484,-50.781250
485,-50.781250
486,-48.828125
487,-54.687500
488,-50.781250
489,-48.828125
490,-50.781250
491,-48.828125
492,-48.828125
493,-48.828125
494,-48.828125
495,-50.781250
496,-48.828125
497,-50.781250
498,-48.828125
499,-48.828125
500,-50.781250
501,-48.828125
502,-52.734375
503,-56.640625
504,-48.828125
505,-52.734375
506,-48.828125
507,-52.734375
508,-48.828125
509,-50.781250
510,-50.781250
511,-54.687500
512,-50.781250
513,-52.734375
514,-52.734375
515,-56.640625
516,-50.781250
517,-50.781250
518,-52.734375
519,-54.687500
520,-54.687500
521,-50.781250
522,-54.687500
523,-54.687500
524,-52.734375
525,-54.687500
526,-50.781250
527,-54.687500
528,-54.687500
529,-52.734375
530,-54.687500
531,-52.734375
532,-56.640625
533,-50.781250
534,-54.687500
535,-54.687500
536,-52.734375
537,-50.781250
538,-52.734375
539,-56.640625
540,-52.734375
541,-52.734375
542,-48.828125
543,-54.687500
544,-56.640625
545,-54.687500
546,-52.734375
547,-52.734375
548,-52.734375
549,-54.687500
550,-54.687500
551,-54.687500
552,-60.546875
553,-56.640625
554,-48.828125
555,-54.687500
556,-50.781250
557,-52.734375
558,-56.640625
559,-50.781250
560,-54.687500
561,-52.734375
562,-54.687500
563,-52.734375
564,-50.781250
565,-56.640625
566,-48.828125
567,-56.640625
568,-52.734375
569,-52.734375
570,-52.734375
571,-48.828125
572,-56.640625
