Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,168.0mV
Probe attenuation    :,10X
Voltage per ADC value:,0.244141mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,273.437500
2,273.437500
3,246.093750
4,246.093750
5,281.250000
6,281.250000
7,250.000000
8,300.781250
9,312.500000
10,316.406250
11,324.218750
12,304.687500
13,277.343750
14,285.156250
15,312.500000
16,308.593750
17,304.687500
18,292.968750
19,296.875000
20,304.687500
21,285.156250
22,273.437500
23,277.343750
24,277.343750
25,273.437500
26,281.250000
27,285.156250
28,292.968750
29,285.156250
30,285.156250
31,292.968750
32,277.343750
33,281.250000
34,273.437500
35,292.968750
36,273.437500
37,285.156250
38,277.343750
39,269.531250
40,277.343750
41,281.250000
42,285.156250
43,281.250000
44,277.343750
45,277.343750
46,273.437500
47,269.531250
48,277.343750
49,277.343750
50,273.437500
51,265.625000
52,265.625000
53,250.000000
54,250.000000
55,246.093750
56,250.000000
57,253.906250
58,246.093750
59,246.093750
60,246.093750
61,246.093750
62,246.093750
63,246.093750
64,246.093750
65,246.093750
66,246.093750
67,246.093750
68,261.718750
69,261.718750
70,261.718750
71,261.718750
72,261.718750
73,246.093750
74,246.093750
75,253.906250
76,246.093750
77,253.906250
78,308.593750
79,316.406250
80,316.406250
81,312.500000
82,308.593750
83,312.500000
84,308.593750
85,281.250000
86,277.343750
87,277.343750
88,281.250000
89,285.156250
90,285.156250
91,292.968750
92,292.968750
93,292.968750
94,292.968750
95,292.968750
96,296.875000
97,292.968750
98,292.968750
99,296.875000
100,292.968750
101,292.968750
102,296.875000
103,292.968750
104,292.968750
105,292.968750
106,292.968750
107,292.968750
108,296.875000
109,292.968750
110,292.968750
111,296.875000
112,296.875000
113,296.875000
114,285.156250
115,296.875000
116,292.968750
117,292.968750
118,296.875000
119,296.875000
120,296.875000
121,300.781250
122,300.781250
123,300.781250
124,300.781250
125,304.687500
126,304.687500
127,304.687500
128,304.687500
129,308.593750
130,300.781250
131,304.687500
132,308.593750
133,308.593750
134,304.687500
135,300.781250
136,300.781250
137,292.968750
138,304.687500
139,304.687500
140,304.687500
141,308.593750
142,304.687500
143,300.781250
144,308.593750
145,300.781250
146,300.781250
147,304.687500
148,300.781250
149,300.781250
150,304.687500
151,316.406250
152,324.218750
153,316.406250
154,308.593750
155,308.593750
156,320.312500
157,332.031250
158,328.125000
159,324.218750
160,324.218750
161,328.125000
162,335.937500
163,332.031250
164,324.218750
165,343.750000
166,335.937500
167,324.218750
168,316.406250
169,292.968750
170,253.906250
171,246.093750
172,253.906250
173,285.156250
174,277.343750
175,292.968750
176,300.781250
177,304.687500
178,308.593750
179,304.687500
180,324.218750
181,328.125000
182,351.562500
183,324.218750
184,304.687500
185,308.593750
186,324.218750
187,335.937500
188,335.937500
189,332.031250
190,332.031250
191,269.531250
192,246.093750
193,285.156250
194,292.968750
195,296.875000
196,277.343750
197,265.625000
198,273.437500
199,261.718750
200,246.093750
201,246.093750
202,273.437500
203,285.156250
204,300.781250
205,308.593750
206,304.687500
207,308.593750
208,316.406250
209,316.406250
210,308.593750
211,304.687500
212,300.781250
213,304.687500
214,308.593750
215,308.593750
216,312.500000
217,320.312500
218,316.406250
219,324.218750
220,320.312500
221,324.218750
222,328.125000
223,316.406250
224,320.312500
225,316.406250
226,324.218750
227,324.218750
228,324.218750
229,324.218750
230,324.218750
231,324.218750
232,324.218750
233,324.218750
234,316.406250
235,324.218750
236,320.312500
237,324.218750
238,320.312500
239,324.218750
240,324.218750
241,324.218750
242,324.218750
243,324.218750
244,324.218750
245,324.218750
246,324.218750
247,324.218750
248,324.218750
249,324.218750
250,324.218750
251,324.218750
252,324.218750
253,324.218750
254,328.125000
255,324.218750
256,324.218750
257,324.218750
258,324.218750
259,324.218750
260,324.218750
261,324.218750
262,324.218750
263,324.218750
264,324.218750
265,324.218750
266,324.218750
267,324.218750
268,324.218750
269,328.125000
270,324.218750
271,324.218750
272,324.218750
273,324.218750
274,324.218750
275,324.218750
276,324.218750
277,324.218750
278,328.125000
279,324.218750
280,328.125000
281,324.218750
282,324.218750
283,332.031250
284,328.125000
285,328.125000
286,324.218750
287,324.218750
288,324.218750
289,324.218750
290,324.218750
291,324.218750
292,328.125000
293,324.218750
294,332.031250
295,328.125000
296,324.218750
297,328.125000
298,324.218750
299,328.125000
300,324.218750
301,324.218750
302,328.125000
303,328.125000
304,324.218750
305,324.218750
306,324.218750
307,324.218750
308,324.218750
309,324.218750
310,316.406250
311,316.406250
312,320.312500
313,316.406250
314,320.312500
315,324.218750
316,324.218750
317,316.406250
318,324.218750
319,316.406250
320,316.406250
321,328.125000
322,316.406250
323,316.406250
324,316.406250
325,324.218750
326,324.218750
327,316.406250
328,320.312500
329,324.218750
330,324.218750
331,324.218750
332,324.218750
333,324.218750
334,324.218750
335,328.125000
336,328.125000
337,332.031250
338,328.125000
339,324.218750
340,332.031250
341,332.031250
342,328.125000
343,324.218750
344,316.406250
345,308.593750
346,292.968750
347,292.968750
348,292.968750
349,292.968750
350,296.875000
351,296.875000
352,296.875000
353,300.781250
354,296.875000
355,300.781250
356,296.875000
357,296.875000
358,300.781250
359,300.781250
360,296.875000
361,300.781250
362,304.687500
363,304.687500
364,304.687500
365,304.687500
366,304.687500
367,304.687500
368,296.875000
369,308.593750
370,320.312500
371,320.312500
372,328.125000
373,328.125000
374,328.125000
375,332.031250
376,328.125000
377,335.937500
378,328.125000
379,332.031250
380,328.125000
381,328.125000
382,328.125000
383,332.031250
384,328.125000
385,335.937500
386,335.937500
387,335.937500
388,335.937500
389,335.937500
390,332.031250
391,332.031250
392,328.125000
393,332.031250
394,328.125000
395,304.687500
396,324.218750
397,332.031250
398,324.218750
399,316.406250
400,324.218750
401,320.312500
402,316.406250
403,308.593750
404,300.781250
405,296.875000
406,292.968750
407,292.968750
408,289.062500
409,292.968750
410,281.250000
411,300.781250
412,308.593750
413,304.687500
414,308.593750
415,304.687500
416,304.687500
417,304.687500
418,308.593750
419,304.687500
420,308.593750
421,304.687500
422,308.593750
423,304.687500
424,304.687500
425,308.593750
426,308.593750
427,308.593750
428,304.687500
429,308.593750
430,308.593750
431,304.687500
432,304.687500
433,312.500000
434,324.218750
435,324.218750
436,324.218750
437,324.218750
438,324.218750
439,328.125000
440,324.218750
441,328.125000
442,328.125000
443,332.031250
444,332.031250
445,328.125000
446,324.218750
447,324.218750
448,324.218750
449,324.218750
450,328.125000
451,328.125000
452,328.125000
453,324.218750
454,324.218750
455,316.406250
456,320.312500
457,324.218750
458,324.218750
459,324.218750
460,324.218750
461,324.218750
462,316.406250
463,324.218750
464,320.312500
465,320.312500
466,292.968750
467,292.968750
468,281.250000
469,300.781250
470,308.593750
471,308.593750
472,316.406250
473,316.406250
474,332.031250
475,332.031250
476,339.843750
477,339.843750
478,347.656250
479,347.656250
480,347.656250
481,343.750000
482,343.750000
483,347.656250
484,343.750000
485,339.843750
486,335.937500
487,335.937500
488,335.937500
489,339.843750
490,332.031250
491,335.937500
492,332.031250
493,335.937500
494,328.125000
495,316.406250
496,308.593750
497,273.437500
498,273.437500
499,269.531250
500,308.593750
501,308.593750
502,328.125000
503,339.843750
504,339.843750
505,339.843750
506,339.843750
507,343.750000
508,347.656250
509,347.656250
510,355.468750
511,355.468750
512,355.468750
513,355.468750
514,355.468750
515,355.468750
516,351.562500
517,355.468750
518,351.562500
519,355.468750
520,355.468750
521,355.468750
522,343.750000
523,261.718750
524,265.625000
525,316.406250
526,332.031250
527,343.750000
528,335.937500
529,355.468750
530,347.656250
531,347.656250
532,312.500000
533,316.406250
534,316.406250
535,324.218750
536,324.218750
537,335.937500
538,332.031250
539,347.656250
540,347.656250
541,347.656250
542,339.843750
543,335.937500
544,339.843750
545,335.937500
546,339.843750
547,335.937500
548,335.937500
549,328.125000
550,324.218750
551,324.218750
552,324.218750
553,324.218750
554,324.218750
555,316.406250
556,316.406250
557,316.406250
558,316.406250
559,324.218750
560,316.406250
561,316.406250
562,316.406250
563,316.406250
564,316.406250
565,316.406250
566,316.406250
567,316.406250
568,316.406250
569,320.312500
570,316.406250
571,324.218750
572,324.218750
573,316.406250
574,324.218750
575,324.218750
576,324.218750
577,324.218750
578,328.125000
579,324.218750
580,339.843750
581,328.125000
582,335.937500
583,343.750000
584,347.656250
585,347.656250
586,343.750000
587,335.937500
588,312.500000
589,304.687500
590,308.593750
591,265.625000
592,269.531250
593,339.843750
594,355.468750
595,355.468750
596,296.875000
597,304.687500
598,328.125000
599,328.125000
600,335.937500
601,312.500000
602,324.218750
603,328.125000
604,316.406250
605,277.343750
606,300.781250
607,339.843750
608,285.156250
609,253.906250
610,253.906250
611,253.906250
612,253.906250
613,253.906250
614,253.906250
615,324.218750
616,324.218750
617,300.781250
618,285.156250
619,292.968750
620,253.906250
621,253.906250
622,250.000000
623,312.500000
624,296.875000
625,285.156250
626,292.968750
627,285.156250
628,312.500000
629,253.906250
630,253.906250
631,269.531250
632,308.593750
633,316.406250
634,304.687500
635,339.843750
636,285.156250
637,320.312500
638,312.500000
639,285.156250
640,316.406250
641,308.593750
642,277.343750
643,312.500000
644,308.593750
645,300.781250
646,281.250000
647,304.687500
648,304.687500
649,308.593750
650,332.031250
651,324.218750
652,324.218750
653,308.593750
654,277.343750
