Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,89.84mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,64.453125
2,64.453125
3,64.453125
4,68.359375
5,68.359375
6,68.359375
7,70.312500
8,74.218750
9,72.265625
10,70.312500
11,70.312500
12,66.406250
13,68.359375
14,68.359375
15,68.359375
16,70.312500
17,66.406250
18,68.359375
19,68.359375
20,70.312500
21,68.359375
22,68.359375
23,68.359375
24,68.359375
25,70.312500
26,66.406250
27,68.359375
28,64.453125
29,68.359375
30,70.312500
31,64.453125
32,60.546875
33,68.359375
34,64.453125
35,64.453125
36,64.453125
37,62.500000
38,68.359375
39,64.453125
40,76.171875
41,62.500000
42,64.453125
43,64.453125
44,66.406250
45,62.500000
46,64.453125
47,60.546875
48,68.359375
49,64.453125
50,58.593750
51,66.406250
52,64.453125
53,62.500000
54,70.312500
55,68.359375
56,64.453125
57,72.265625
58,62.500000
59,64.453125
60,64.453125
61,64.453125
62,68.359375
63,72.265625
64,68.359375
65,70.312500
66,68.359375
67,64.453125
68,68.359375
69,68.359375
70,62.500000
71,64.453125
72,68.359375
73,68.359375
74,72.265625
75,64.453125
76,64.453125
77,68.359375
78,70.312500
79,60.546875
80,60.546875
81,70.312500
82,74.218750
83,80.078125
84,74.218750
85,80.078125
86,83.984375
87,80.078125
88,80.078125
89,83.984375
90,93.750000
91,97.656250
92,93.750000
93,97.656250
94,101.562500
95,101.562500
96,107.421875
97,107.421875
98,109.375000
99,107.421875
100,107.421875
101,109.375000
102,111.328125
103,111.328125
104,111.328125
105,109.375000
106,109.375000
107,101.562500
108,101.562500
109,107.421875
110,107.421875
111,105.468750
112,105.468750
113,107.421875
114,105.468750
115,107.421875
116,107.421875
117,109.375000
118,107.421875
119,111.328125
120,109.375000
121,107.421875
122,109.375000
123,109.375000
124,115.234375
125,111.328125
126,105.468750
127,109.375000
128,111.328125
129,111.328125
130,111.328125
131,107.421875
132,111.328125
133,115.234375
134,101.562500
135,99.609375
136,95.703125
137,95.703125
138,95.703125
139,95.703125
140,95.703125
141,101.562500
142,101.562500
143,99.609375
144,99.609375
145,105.468750
146,101.562500
147,103.515625
148,105.468750
149,111.328125
150,111.328125
151,109.375000
152,115.234375
153,115.234375
154,115.234375
155,115.234375
156,111.328125
157,111.328125
158,111.328125
159,109.375000
160,111.328125
161,111.328125
162,111.328125
163,115.234375
164,119.140625
165,111.328125
166,115.234375
167,107.421875
168,109.375000
169,103.515625
170,97.656250
171,99.609375
172,99.609375
173,99.609375
174,97.656250
175,109.375000
176,103.515625
177,101.562500
178,99.609375
179,99.609375
180,105.468750
181,101.562500
182,93.750000
183,99.609375
184,99.609375
185,101.562500
186,99.609375
187,99.609375
188,101.562500
189,109.375000
190,103.515625
191,101.562500
192,99.609375
193,109.375000
194,105.468750
195,107.421875
196,109.375000
197,107.421875
198,109.375000
199,115.234375
200,107.421875
201,109.375000
202,111.328125
203,107.421875
204,111.328125
205,111.328125
206,109.375000
207,111.328125
208,109.375000
209,111.328125
210,115.234375
211,111.328125
212,109.375000
213,115.234375
214,105.468750
215,107.421875
216,109.375000
217,115.234375
218,119.140625
219,115.234375
220,119.140625
221,123.046875
222,121.093750
223,123.046875
224,123.046875
225,121.093750
226,123.046875
227,125.000000
228,125.000000
229,123.046875
230,125.000000
231,130.859375
232,130.859375
233,130.859375
234,123.046875
235,128.906250
236,130.859375
237,125.000000
238,130.859375
239,126.953125
240,126.953125
241,132.812500
242,130.859375
243,130.859375
244,128.906250
245,134.765625
246,130.859375
247,130.859375
248,130.859375
249,130.859375
250,132.812500
251,130.859375
252,130.859375
253,132.812500
254,132.812500
255,132.812500
256,138.671875
257,132.812500
258,130.859375
259,136.718750
260,130.859375
261,132.812500
262,136.718750
263,132.812500
264,138.671875
265,138.671875
266,134.765625
267,134.765625
268,134.765625
269,132.812500
270,134.765625
271,134.765625
272,134.765625
273,138.671875
274,138.671875
275,132.812500
276,134.765625
277,134.765625
278,138.671875
279,130.859375
280,138.671875
281,132.812500
282,132.812500
283,136.718750
284,134.765625
285,132.812500
286,134.765625
287,130.859375
288,140.625000
289,136.718750
290,130.859375
291,130.859375
292,136.718750
293,132.812500
294,134.765625
295,130.859375
296,130.859375
297,132.812500
298,130.859375
299,130.859375
300,130.859375
301,130.859375
302,132.812500
303,132.812500
304,126.953125
305,136.718750
306,130.859375
307,130.859375
308,132.812500
309,130.859375
310,132.812500
311,138.671875
312,134.765625
313,136.718750
314,134.765625
315,132.812500
316,134.765625
317,138.671875
318,130.859375
319,136.718750
320,132.812500
321,132.812500
322,136.718750
323,132.812500
324,130.859375
325,138.671875
326,134.765625
327,138.671875
328,130.859375
329,132.812500
330,138.671875
331,136.718750
332,130.859375
333,132.812500
334,132.812500
335,136.718750
336,134.765625
337,126.953125
338,136.718750
339,134.765625
340,136.718750
341,134.765625
342,130.859375
343,132.812500
344,130.859375
345,132.812500
346,132.812500
347,130.859375
348,136.718750
349,130.859375
350,132.812500
351,132.812500
352,132.812500
353,132.812500
354,134.765625
355,128.906250
356,132.812500
357,138.671875
358,132.812500
359,136.718750
360,136.718750
361,134.765625
362,132.812500
363,134.765625
364,132.812500
365,132.812500
366,136.718750
367,130.859375
368,138.671875
369,138.671875
370,134.765625
371,132.812500
372,132.812500
373,132.812500
374,126.953125
375,132.812500
376,130.859375
377,138.671875
378,132.812500
379,123.046875
380,126.953125
381,126.953125
382,117.187500
383,105.468750
384,91.796875
385,78.125000
386,80.078125
387,80.078125
388,76.171875
389,76.171875
390,70.312500
391,78.125000
392,76.171875
393,74.218750
394,76.171875
395,74.218750
396,76.171875
397,72.265625
398,76.171875
399,74.218750
400,76.171875
401,74.218750
402,78.125000
403,74.218750
404,72.265625
405,76.171875
406,78.125000
407,76.171875
408,70.312500
409,76.171875
410,72.265625
411,74.218750
412,76.171875
413,72.265625
414,76.171875
415,76.171875
416,72.265625
417,74.218750
418,72.265625
419,72.265625
420,76.171875
421,80.078125
422,76.171875
423,74.218750
424,74.218750
425,74.218750
426,74.218750
427,76.171875
428,72.265625
429,74.218750
430,70.312500
431,68.359375
432,70.312500
433,80.078125
434,68.359375
435,64.453125
436,68.359375
437,68.359375
438,74.218750
439,74.218750
440,68.359375
441,70.312500
442,68.359375
443,72.265625
444,68.359375
445,68.359375
446,68.359375
447,70.312500
448,68.359375
449,68.359375
450,72.265625
451,68.359375
452,66.406250
453,64.453125
454,62.500000
455,68.359375
456,64.453125
457,64.453125
458,68.359375
459,64.453125
460,64.453125
461,68.359375
462,60.546875
463,64.453125
464,62.500000
465,58.593750
466,64.453125
467,64.453125
468,64.453125
469,64.453125
470,62.500000
471,64.453125
472,60.546875
473,60.546875
474,62.500000
475,62.500000
476,64.453125
477,62.500000
478,62.500000
479,58.593750
480,64.453125
481,58.593750
482,52.734375
483,60.546875
484,56.640625
485,58.593750
486,60.546875
487,64.453125
488,58.593750
489,60.546875
490,62.500000
491,64.453125
492,58.593750
493,54.687500
494,52.734375
495,56.640625
496,58.593750
497,54.687500
498,58.593750
499,58.593750
500,58.593750
501,60.546875
502,52.734375
503,58.593750
504,60.546875
505,58.593750
506,58.593750
507,62.500000
508,56.640625
509,56.640625
510,60.546875
511,60.546875
512,60.546875
513,62.500000
514,58.593750
515,60.546875
516,62.500000
517,54.687500
518,60.546875
519,60.546875
520,60.546875
521,60.546875
522,60.546875
523,62.500000
524,62.500000
525,58.593750
526,58.593750
527,60.546875
528,64.453125
529,56.640625
530,58.593750
531,60.546875
532,52.734375
533,64.453125
534,54.687500
535,60.546875
536,62.500000
537,60.546875
538,64.453125
539,48.828125
540,56.640625
541,56.640625
542,60.546875
543,60.546875
544,56.640625
545,60.546875
546,68.359375
547,60.546875
548,62.500000
549,60.546875
550,62.500000
551,60.546875
552,60.546875
553,60.546875
554,58.593750
555,60.546875
556,64.453125
557,60.546875
558,60.546875
559,68.359375
560,64.453125
561,68.359375
562,64.453125
563,64.453125
564,64.453125
565,64.453125
566,58.593750
567,64.453125
568,64.453125
569,60.546875
570,64.453125
571,62.500000
572,62.500000
573,60.546875
574,64.453125
575,64.453125
576,62.500000
577,60.546875
578,62.500000
579,62.500000
580,62.500000
581,60.546875
582,60.546875
583,68.359375
584,72.265625
585,58.593750
586,62.500000
587,60.546875
588,62.500000
589,64.453125
590,62.500000
591,64.453125
592,58.593750
593,62.500000
594,60.546875
595,60.546875
596,64.453125
597,60.546875
598,62.500000
599,60.546875
600,60.546875
601,60.546875
602,64.453125
603,58.593750
604,60.546875
605,64.453125
606,62.500000
607,60.546875
608,68.359375
609,60.546875
610,58.593750
611,62.500000
612,64.453125
613,60.546875
614,66.406250
615,62.500000
616,62.500000
617,62.500000
618,58.593750
619,64.453125
620,60.546875
621,60.546875
622,62.500000
623,62.500000
624,54.687500
625,64.453125
626,64.453125
627,64.453125
628,62.500000
629,54.687500
630,62.500000
631,60.546875
632,64.453125
633,60.546875
634,60.546875
635,60.546875
636,68.359375
637,62.500000
638,60.546875
639,56.640625
640,60.546875
641,64.453125
642,60.546875
643,52.734375
644,60.546875
645,60.546875
646,58.593750
647,60.546875
648,58.593750
649,60.546875
650,56.640625
651,62.500000
652,62.500000
653,58.593750
654,60.546875
