Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,150.4mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,126.953125
2,126.953125
3,126.953125
4,126.953125
5,126.953125
6,125.000000
7,126.953125
8,130.859375
9,132.812500
10,126.953125
11,130.859375
12,123.046875
13,126.953125
14,126.953125
15,130.859375
16,126.953125
17,126.953125
18,126.953125
19,126.953125
20,125.000000
21,130.859375
22,126.953125
23,128.906250
24,125.000000
25,130.859375
26,134.765625
27,126.953125
28,123.046875
29,126.953125
30,128.906250
31,125.000000
32,125.000000
33,126.953125
34,128.906250
35,126.953125
36,123.046875
37,121.093750
38,123.046875
39,128.906250
40,123.046875
41,126.953125
42,126.953125
43,123.046875
44,130.859375
45,123.046875
46,130.859375
47,126.953125
48,123.046875
49,126.953125
50,126.953125
51,126.953125
52,130.859375
53,130.859375
54,130.859375
55,132.812500
56,128.906250
57,130.859375
58,130.859375
59,130.859375
60,130.859375
61,134.765625
62,126.953125
63,126.953125
64,132.812500
65,126.953125
66,128.906250
67,126.953125
68,132.812500
69,130.859375
70,130.859375
71,130.859375
72,130.859375
73,130.859375
74,123.046875
75,125.000000
76,136.718750
77,130.859375
78,130.859375
79,130.859375
80,126.953125
81,130.859375
82,130.859375
83,126.953125
84,126.953125
85,126.953125
86,126.953125
87,121.093750
88,130.859375
89,130.859375
90,132.812500
91,132.812500
92,130.859375
93,130.859375
94,121.093750
95,130.859375
96,130.859375
97,126.953125
98,134.765625
99,130.859375
100,132.812500
101,130.859375
102,126.953125
103,130.859375
104,132.812500
105,134.765625
106,134.765625
107,138.671875
108,130.859375
109,138.671875
110,132.812500
111,132.812500
112,134.765625
113,136.718750
114,132.812500
115,138.671875
116,130.859375
117,134.765625
118,134.765625
119,126.953125
120,138.671875
121,130.859375
122,132.812500
123,134.765625
124,134.765625
125,136.718750
126,130.859375
127,126.953125
128,130.859375
129,136.718750
130,136.718750
131,126.953125
132,130.859375
133,138.671875
134,138.671875
135,130.859375
136,130.859375
137,134.765625
138,130.859375
139,130.859375
140,132.812500
141,130.859375
142,130.859375
143,126.953125
144,132.812500
145,130.859375
146,130.859375
147,134.765625
148,130.859375
149,132.812500
150,130.859375
151,130.859375
152,130.859375
153,132.812500
154,130.859375
155,128.906250
156,130.859375
157,130.859375
158,130.859375
159,134.765625
160,130.859375
161,132.812500
162,136.718750
163,130.859375
164,132.812500
165,128.906250
166,132.812500
167,126.953125
168,132.812500
169,123.046875
170,130.859375
171,132.812500
172,130.859375
173,130.859375
174,123.046875
175,125.000000
176,130.859375
177,125.000000
178,125.000000
179,130.859375
180,130.859375
181,130.859375
182,125.000000
183,136.718750
184,125.000000
185,126.953125
186,126.953125
187,123.046875
188,125.000000
189,125.000000
190,126.953125
191,126.953125
192,121.093750
193,121.093750
194,121.093750
195,119.140625
196,126.953125
197,123.046875
198,125.000000
199,125.000000
200,123.046875
201,126.953125
202,125.000000
203,126.953125
204,117.187500
205,130.859375
206,126.953125
207,126.953125
208,126.953125
209,123.046875
210,126.953125
211,130.859375
212,126.953125
213,128.906250
214,123.046875
215,123.046875
216,123.046875
217,126.953125
218,130.859375
219,126.953125
220,123.046875
221,121.093750
222,117.187500
223,125.000000
224,115.234375
225,115.234375
226,117.187500
227,119.140625
228,115.234375
229,115.234375
230,111.328125
231,107.421875
232,115.234375
233,109.375000
234,101.562500
235,107.421875
236,103.515625
237,105.468750
238,97.656250
239,101.562500
240,97.656250
241,95.703125
242,99.609375
243,95.703125
244,103.515625
245,103.515625
246,107.421875
247,111.328125
248,111.328125
249,111.328125
250,105.468750
251,107.421875
252,107.421875
253,107.421875
254,115.234375
255,109.375000
256,111.328125
257,111.328125
258,105.468750
259,111.328125
260,109.375000
261,107.421875
262,107.421875
263,103.515625
264,109.375000
265,101.562500
266,107.421875
267,105.468750
268,101.562500
269,107.421875
270,107.421875
271,107.421875
272,99.609375
273,111.328125
274,111.328125
275,109.375000
276,111.328125
277,105.468750
278,105.468750
279,121.093750
280,111.328125
281,109.375000
282,103.515625
283,109.375000
284,113.281250
285,109.375000
286,107.421875
287,107.421875
288,111.328125
289,109.375000
290,107.421875
291,115.234375
292,111.328125
293,103.515625
294,115.234375
295,109.375000
296,111.328125
297,111.328125
298,111.328125
299,109.375000
300,115.234375
301,115.234375
302,111.328125
303,115.234375
304,115.234375
305,113.281250
306,115.234375
307,115.234375
308,115.234375
309,115.234375
310,113.281250
311,107.421875
312,115.234375
313,115.234375
314,111.328125
315,115.234375
316,115.234375
317,117.187500
318,111.328125
319,111.328125
320,115.234375
321,115.234375
322,115.234375
323,111.328125
324,111.328125
325,111.328125
326,115.234375
327,111.328125
328,115.234375
329,113.281250
330,115.234375
331,111.328125
332,115.234375
333,111.328125
334,107.421875
335,115.234375
336,111.328125
337,111.328125
338,113.281250
339,111.328125
340,111.328125
341,111.328125
342,111.328125
343,115.234375
344,115.234375
345,111.328125
346,117.187500
347,115.234375
348,111.328125
349,115.234375
350,115.234375
351,111.328125
352,115.234375
353,111.328125
354,115.234375
355,117.187500
356,107.421875
357,115.234375
358,115.234375
359,115.234375
360,111.328125
361,121.093750
362,115.234375
363,111.328125
364,115.234375
365,115.234375
366,111.328125
367,115.234375
368,123.046875
369,119.140625
370,115.234375
371,115.234375
372,111.328125
373,117.187500
374,115.234375
375,111.328125
376,115.234375
377,115.234375
378,115.234375
379,119.140625
380,111.328125
381,111.328125
382,113.281250
383,117.187500
384,115.234375
385,111.328125
386,111.328125
387,111.328125
388,115.234375
389,113.281250
390,115.234375
391,111.328125
392,115.234375
393,107.421875
394,115.234375
395,115.234375
396,115.234375
397,107.421875
398,115.234375
399,115.234375
400,115.234375
401,117.187500
402,115.234375
403,115.234375
404,111.328125
405,115.234375
406,115.234375
407,115.234375
408,115.234375
409,123.046875
410,119.140625
411,117.187500
412,121.093750
413,123.046875
414,123.046875
415,123.046875
416,126.953125
417,123.046875
418,123.046875
419,119.140625
420,125.000000
421,123.046875
422,123.046875
423,125.000000
424,126.953125
425,126.953125
426,126.953125
427,123.046875
428,126.953125
429,123.046875
430,125.000000
431,121.093750
432,115.234375
433,123.046875
434,125.000000
435,130.859375
436,126.953125
437,125.000000
438,125.000000
439,123.046875
440,123.046875
441,121.093750
442,125.000000
443,119.140625
444,126.953125
445,125.000000
446,123.046875
447,125.000000
448,126.953125
449,123.046875
450,126.953125
451,119.140625
452,121.093750
453,126.953125
454,125.000000
455,123.046875
456,125.000000
457,126.953125
458,123.046875
459,125.000000
460,121.093750
461,115.234375
462,115.234375
463,115.234375
464,115.234375
465,115.234375
466,111.328125
467,115.234375
468,115.234375
469,115.234375
470,111.328125
471,115.234375
472,115.234375
473,115.234375
474,111.328125
475,111.328125
476,113.281250
477,115.234375
478,107.421875
479,115.234375
480,111.328125
481,115.234375
482,119.140625
483,111.328125
484,115.234375
485,105.468750
486,115.234375
487,111.328125
488,111.328125
489,123.046875
490,113.281250
491,111.328125
492,111.328125
493,115.234375
494,111.328125
495,107.421875
496,115.234375
497,109.375000
498,107.421875
499,115.234375
500,111.328125
501,111.328125
502,113.281250
503,109.375000
504,111.328125
505,115.234375
506,111.328125
507,111.328125
508,115.234375
509,115.234375
510,117.187500
511,115.234375
512,115.234375
513,115.234375
514,115.234375
515,115.234375
516,115.234375
517,111.328125
518,115.234375
519,111.328125
520,115.234375
521,109.375000
522,107.421875
523,115.234375
524,111.328125
525,111.328125
526,111.328125
527,111.328125
528,119.140625
529,111.328125
530,109.375000
531,111.328125
532,111.328125
533,115.234375
534,111.328125
535,109.375000
536,107.421875
537,111.328125
538,113.281250
539,111.328125
540,115.234375
541,105.468750
542,109.375000
543,107.421875
544,107.421875
545,111.328125
546,115.234375
547,109.375000
548,115.234375
549,109.375000
550,109.375000
551,109.375000
552,109.375000
553,105.468750
554,111.328125
555,107.421875
556,107.421875
557,115.234375
558,107.421875
559,115.234375
560,105.468750
561,105.468750
562,111.328125
563,111.328125
564,111.328125
565,115.234375
566,111.328125
567,115.234375
568,111.328125
569,109.375000
570,111.328125
571,111.328125
572,113.281250
573,105.468750
574,111.328125
575,107.421875
576,115.234375
577,109.375000
578,103.515625
579,109.375000
580,111.328125
581,107.421875
582,109.375000
583,105.468750
584,109.375000
585,107.421875
586,113.281250
587,107.421875
588,107.421875
589,111.328125
590,109.375000
591,109.375000
592,109.375000
593,111.328125
594,111.328125
595,107.421875
596,105.468750
597,111.328125
598,105.468750
599,105.468750
600,107.421875
601,109.375000
602,109.375000
603,111.328125
604,111.328125
605,111.328125
606,111.328125
607,107.421875
608,109.375000
609,117.187500
610,123.046875
611,113.281250
612,111.328125
613,111.328125
614,109.375000
615,111.328125
616,111.328125
617,107.421875
618,115.234375
619,109.375000
620,107.421875
621,113.281250
622,115.234375
623,121.093750
624,115.234375
625,115.234375
626,117.187500
627,115.234375
628,115.234375
629,111.328125
630,113.281250
631,121.093750
632,115.234375
633,115.234375
634,107.421875
635,109.375000
636,115.234375
637,113.281250
638,121.093750
639,115.234375
640,119.140625
641,117.187500
642,115.234375
643,117.187500
644,123.046875
645,115.234375
646,119.140625
647,119.140625
648,121.093750
649,119.140625
650,119.140625
651,115.234375
652,115.234375
653,117.187500
654,111.328125
