Channel,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,101.6mV
Probe attenuation    :,10X
Voltage per ADC value:,0.244141mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,222.656250
2,222.656250
3,222.656250
4,222.656250
5,222.656250
6,222.656250
7,222.656250
8,222.656250
9,222.656250
10,222.656250
11,222.656250
12,222.656250
13,222.656250
14,222.656250
15,222.656250
16,222.656250
17,230.468750
18,222.656250
19,222.656250
20,222.656250
21,230.468750
22,222.656250
23,222.656250
24,222.656250
25,218.750000
26,222.656250
27,218.750000
28,218.750000
29,218.750000
30,222.656250
31,222.656250
32,222.656250
33,218.750000
34,222.656250
35,222.656250
36,222.656250
37,222.656250
38,222.656250
39,218.750000
40,222.656250
41,222.656250
42,222.656250
43,230.468750
44,222.656250
45,222.656250
46,222.656250
47,222.656250
48,222.656250
49,222.656250
50,222.656250
51,222.656250
52,214.843750
53,222.656250
54,222.656250
55,222.656250
56,222.656250
57,222.656250
58,222.656250
59,222.656250
60,222.656250
61,222.656250
62,222.656250
63,222.656250
64,222.656250
65,222.656250
66,222.656250
67,222.656250
68,222.656250
69,222.656250
70,222.656250
71,218.750000
72,222.656250
73,218.750000
74,222.656250
75,222.656250
76,218.750000
77,222.656250
78,222.656250
79,222.656250
80,222.656250
81,222.656250
82,222.656250
83,226.562500
84,230.468750
85,218.750000
86,222.656250
87,222.656250
88,218.750000
89,222.656250
90,222.656250
91,222.656250
92,218.750000
93,222.656250
94,226.562500
95,222.656250
96,222.656250
97,218.750000
98,222.656250
99,222.656250
100,222.656250
101,222.656250
102,222.656250
103,222.656250
104,222.656250
105,214.843750
106,222.656250
107,222.656250
108,218.750000
109,222.656250
110,210.937500
111,222.656250
112,222.656250
113,222.656250
114,210.937500
115,222.656250
116,222.656250
117,218.750000
118,222.656250
119,222.656250
120,222.656250
121,222.656250
122,222.656250
123,222.656250
124,226.562500
125,222.656250
126,222.656250
127,222.656250
128,222.656250
129,222.656250
130,222.656250
131,222.656250
132,218.750000
133,222.656250
134,222.656250
135,222.656250
136,222.656250
137,222.656250
138,222.656250
139,222.656250
140,222.656250
141,222.656250
142,222.656250
143,226.562500
144,222.656250
145,222.656250
146,222.656250
147,222.656250
148,222.656250
149,222.656250
150,218.750000
151,222.656250
152,222.656250
153,222.656250
154,222.656250
155,222.656250
156,222.656250
157,222.656250
158,222.656250
159,218.750000
160,222.656250
161,218.750000
162,222.656250
163,222.656250
164,222.656250
165,222.656250
166,222.656250
167,218.750000
168,222.656250
169,222.656250
170,218.750000
171,222.656250
172,222.656250
173,218.750000
174,222.656250
175,222.656250
176,222.656250
177,214.843750
178,222.656250
179,222.656250
180,222.656250
181,222.656250
182,222.656250
183,222.656250
184,218.750000
185,222.656250
186,222.656250
187,218.750000
188,222.656250
189,218.750000
190,222.656250
191,214.843750
192,222.656250
193,222.656250
194,214.843750
195,222.656250
196,218.750000
197,222.656250
198,218.750000
199,222.656250
200,218.750000
201,222.656250
202,222.656250
203,222.656250
204,214.843750
205,222.656250
206,218.750000
207,218.750000
208,222.656250
209,222.656250
210,222.656250
211,222.656250
212,222.656250
213,222.656250
214,222.656250
215,222.656250
216,222.656250
217,222.656250
218,222.656250
219,230.468750
220,222.656250
221,218.750000
222,222.656250
223,222.656250
224,222.656250
225,222.656250
226,226.562500
227,222.656250
228,222.656250
229,222.656250
230,218.750000
231,218.750000
232,222.656250
233,222.656250
234,222.656250
235,222.656250
236,230.468750
237,222.656250
238,222.656250
239,222.656250
240,222.656250
241,222.656250
242,222.656250
243,222.656250
244,222.656250
245,222.656250
246,222.656250
247,218.750000
248,222.656250
249,222.656250
250,222.656250
251,218.750000
252,222.656250
253,222.656250
254,218.750000
255,222.656250
256,222.656250
257,230.468750
258,222.656250
259,222.656250
260,222.656250
261,222.656250
262,222.656250
263,222.656250
264,222.656250
265,218.750000
266,222.656250
267,218.750000
268,222.656250
269,222.656250
270,222.656250
271,222.656250
272,222.656250
273,218.750000
274,218.750000
275,222.656250
276,222.656250
277,222.656250
278,222.656250
279,222.656250
280,222.656250
281,222.656250
282,222.656250
283,222.656250
284,222.656250
285,222.656250
286,222.656250
287,222.656250
288,222.656250
289,222.656250
290,222.656250
291,222.656250
292,222.656250
293,222.656250
294,222.656250
295,222.656250
296,222.656250
297,222.656250
298,222.656250
299,222.656250
300,218.750000
301,222.656250
302,222.656250
303,230.468750
304,222.656250
305,222.656250
306,222.656250
307,218.750000
308,222.656250
309,222.656250
310,222.656250
311,218.750000
312,222.656250
313,222.656250
314,222.656250
315,222.656250
316,222.656250
317,222.656250
318,222.656250
319,222.656250
320,222.656250
321,226.562500
322,222.656250
323,222.656250
324,222.656250
325,222.656250
326,222.656250
327,222.656250
328,222.656250
329,222.656250
330,222.656250
331,222.656250
332,222.656250
333,222.656250
334,222.656250
335,222.656250
336,222.656250
337,222.656250
338,230.468750
339,222.656250
340,222.656250
341,222.656250
342,222.656250
343,222.656250
344,222.656250
345,222.656250
346,222.656250
347,222.656250
348,222.656250
349,222.656250
350,222.656250
351,218.750000
352,222.656250
353,222.656250
354,222.656250
355,222.656250
356,226.562500
357,226.562500
358,222.656250
359,222.656250
360,218.750000
361,222.656250
362,222.656250
363,222.656250
364,222.656250
365,214.843750
366,222.656250
367,222.656250
368,222.656250
369,222.656250
370,222.656250
371,222.656250
372,222.656250
373,222.656250
374,222.656250
375,222.656250
376,222.656250
377,226.562500
378,222.656250
379,222.656250
380,222.656250
381,222.656250
382,222.656250
383,222.656250
384,222.656250
385,222.656250
386,222.656250
387,222.656250
388,222.656250
389,222.656250
390,222.656250
391,222.656250
392,222.656250
393,222.656250
394,218.750000
395,222.656250
396,222.656250
397,222.656250
398,222.656250
399,222.656250
400,222.656250
401,222.656250
402,222.656250
403,222.656250
404,222.656250
405,222.656250
406,222.656250
407,222.656250
408,218.750000
409,222.656250
410,222.656250
411,222.656250
412,222.656250
413,222.656250
414,222.656250
415,226.562500
416,222.656250
417,238.281250
418,222.656250
419,234.375000
420,222.656250
421,222.656250
422,222.656250
423,222.656250
424,222.656250
425,218.750000
426,222.656250
427,222.656250
428,222.656250
429,230.468750
430,222.656250
431,222.656250
432,222.656250
433,222.656250
434,222.656250
435,222.656250
436,222.656250
437,222.656250
438,222.656250
439,222.656250
440,226.562500
441,222.656250
442,222.656250
443,222.656250
444,222.656250
445,222.656250
446,214.843750
447,226.562500
448,222.656250
449,222.656250
450,230.468750
451,222.656250
452,222.656250
453,222.656250
454,222.656250
455,222.656250
456,222.656250
457,222.656250
458,222.656250
459,222.656250
460,222.656250
461,214.843750
462,222.656250
463,222.656250
464,222.656250
465,222.656250
466,222.656250
467,222.656250
468,222.656250
469,222.656250
470,222.656250
471,222.656250
472,218.750000
473,222.656250
474,222.656250
475,218.750000
476,222.656250
477,246.093750
478,222.656250
479,222.656250
480,222.656250
481,218.750000
482,222.656250
483,214.843750
484,222.656250
485,222.656250
486,222.656250
487,222.656250
488,218.750000
489,222.656250
490,222.656250
491,230.468750
492,218.750000
493,222.656250
494,222.656250
495,218.750000
496,218.750000
497,222.656250
498,218.750000
499,222.656250
500,226.562500
501,222.656250
502,218.750000
503,222.656250
504,210.937500
505,218.750000
506,222.656250
507,222.656250
508,242.187500
509,218.750000
510,218.750000
511,222.656250
512,222.656250
513,222.656250
514,218.750000
515,218.750000
516,222.656250
517,222.656250
518,218.750000
519,218.750000
520,222.656250
521,218.750000
522,222.656250
523,218.750000
524,222.656250
525,218.750000
526,222.656250
527,222.656250
528,222.656250
529,218.750000
530,222.656250
531,222.656250
532,218.750000
533,222.656250
534,222.656250
535,222.656250
536,222.656250
537,218.750000
538,222.656250
539,222.656250
540,222.656250
541,222.656250
542,222.656250
543,218.750000
544,222.656250
545,222.656250
546,218.750000
547,218.750000
548,218.750000
549,218.750000
550,218.750000
551,222.656250
552,218.750000
553,222.656250
554,222.656250
555,218.750000
556,218.750000
557,222.656250
558,222.656250
559,222.656250
560,222.656250
561,222.656250
562,222.656250
563,222.656250
564,222.656250
565,226.562500
566,222.656250
567,222.656250
568,222.656250
569,222.656250
570,218.750000
571,222.656250
572,222.656250
573,222.656250
574,222.656250
575,222.656250
576,222.656250
577,222.656250
578,222.656250
579,222.656250
580,222.656250
581,222.656250
582,222.656250
583,226.562500
584,222.656250
585,222.656250
586,222.656250
587,222.656250
588,222.656250
589,230.468750
590,222.656250
591,222.656250
592,222.656250
593,222.656250
594,222.656250
595,218.750000
596,222.656250
597,222.656250
598,222.656250
599,222.656250
600,222.656250
601,218.750000
602,222.656250
603,222.656250
604,222.656250
605,222.656250
606,222.656250
607,222.656250
608,218.750000
609,222.656250
610,222.656250
611,222.656250
612,230.468750
613,222.656250
614,218.750000
615,218.750000
616,230.468750
617,222.656250
618,218.750000
619,218.750000
620,222.656250
621,218.750000
622,222.656250
623,214.843750
624,222.656250
625,218.750000
626,222.656250
627,218.750000
628,222.656250
629,218.750000
630,222.656250
631,222.656250
632,222.656250
633,222.656250
634,218.750000
635,222.656250
636,222.656250
637,218.750000
638,218.750000
639,222.656250
640,222.656250
641,214.843750
642,222.656250
643,230.468750
644,222.656250
645,222.656250
646,222.656250
647,222.656250
648,222.656250
649,222.656250
650,222.656250
651,222.656250
652,222.656250
653,222.656250
654,222.656250
