Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,72.27mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,113.281250
2,113.281250
3,109.375000
4,115.234375
5,119.140625
6,115.234375
7,111.328125
8,111.328125
9,111.328125
10,113.281250
11,115.234375
12,119.140625
13,121.093750
14,121.093750
15,119.140625
16,119.140625
17,119.140625
18,117.187500
19,117.187500
20,121.093750
21,119.140625
22,117.187500
23,115.234375
24,119.140625
25,123.046875
26,121.093750
27,115.234375
28,117.187500
29,121.093750
30,123.046875
31,117.187500
32,117.187500
33,130.859375
34,123.046875
35,117.187500
36,113.281250
37,121.093750
38,119.140625
39,121.093750
40,121.093750
41,117.187500
42,119.140625
43,119.140625
44,113.281250
45,115.234375
46,117.187500
47,119.140625
48,123.046875
49,115.234375
50,123.046875
51,121.093750
52,123.046875
53,117.187500
54,121.093750
55,119.140625
56,119.140625
57,121.093750
58,117.187500
59,119.140625
60,115.234375
61,111.328125
62,111.328125
63,111.328125
64,107.421875
65,111.328125
66,105.468750
67,103.515625
68,103.515625
69,103.515625
70,101.562500
71,105.468750
72,103.515625
73,103.515625
74,97.656250
75,103.515625
76,101.562500
77,99.609375
78,95.703125
79,99.609375
80,101.562500
81,101.562500
82,103.515625
83,99.609375
84,95.703125
85,103.515625
86,101.562500
87,95.703125
88,97.656250
89,95.703125
90,101.562500
91,95.703125
92,101.562500
93,101.562500
94,103.515625
95,101.562500
96,99.609375
97,99.609375
98,99.609375
99,95.703125
100,101.562500
101,99.609375
102,101.562500
103,99.609375
104,101.562500
105,105.468750
106,103.515625
107,101.562500
108,103.515625
109,103.515625
110,95.703125
111,107.421875
112,101.562500
113,105.468750
114,103.515625
115,99.609375
116,103.515625
117,103.515625
118,103.515625
119,107.421875
120,101.562500
121,99.609375
122,105.468750
123,99.609375
124,105.468750
125,107.421875
126,99.609375
127,103.515625
128,107.421875
129,105.468750
130,99.609375
131,99.609375
132,107.421875
133,107.421875
134,101.562500
135,101.562500
136,107.421875
137,111.328125
138,111.328125
139,107.421875
140,107.421875
141,109.375000
142,107.421875
143,111.328125
144,105.468750
145,115.234375
146,111.328125
147,111.328125
148,117.187500
149,123.046875
150,121.093750
151,123.046875
152,126.953125
153,123.046875
154,123.046875
155,123.046875
156,119.140625
157,125.000000
158,123.046875
159,125.000000
160,126.953125
161,123.046875
162,126.953125
163,130.859375
164,126.953125
165,130.859375
166,125.000000
167,130.859375
168,126.953125
169,126.953125
170,123.046875
171,126.953125
172,123.046875
173,115.234375
174,121.093750
175,119.140625
176,115.234375
177,111.328125
178,113.281250
179,117.187500
180,119.140625
181,111.328125
182,111.328125
183,115.234375
184,121.093750
185,119.140625
186,111.328125
187,111.328125
188,123.046875
189,111.328125
190,111.328125
191,115.234375
192,111.328125
193,105.468750
194,107.421875
195,99.609375
196,101.562500
197,103.515625
198,105.468750
199,99.609375
200,105.468750
201,103.515625
202,99.609375
203,101.562500
204,107.421875
205,105.468750
206,107.421875
207,99.609375
208,99.609375
209,101.562500
210,99.609375
211,99.609375
212,101.562500
213,101.562500
214,101.562500
215,105.468750
216,103.515625
217,105.468750
218,103.515625
219,105.468750
220,101.562500
221,105.468750
222,105.468750
223,109.375000
224,101.562500
225,103.515625
226,105.468750
227,109.375000
228,101.562500
229,101.562500
230,101.562500
231,99.609375
232,105.468750
233,101.562500
234,95.703125
235,101.562500
236,107.421875
237,91.796875
238,95.703125
239,93.750000
240,101.562500
241,103.515625
242,99.609375
243,99.609375
244,97.656250
245,101.562500
246,97.656250
247,101.562500
248,99.609375
249,105.468750
250,109.375000
251,99.609375
252,109.375000
253,111.328125
254,107.421875
255,107.421875
256,109.375000
257,109.375000
258,111.328125
259,115.234375
260,113.281250
261,115.234375
262,117.187500
263,111.328125
264,115.234375
265,113.281250
266,121.093750
267,119.140625
268,121.093750
269,121.093750
270,121.093750
271,121.093750
272,119.140625
273,126.953125
274,125.000000
275,123.046875
276,121.093750
277,123.046875
278,123.046875
279,126.953125
280,123.046875
281,119.140625
282,125.000000
283,126.953125
284,121.093750
285,123.046875
286,123.046875
287,125.000000
288,126.953125
289,123.046875
290,123.046875
291,126.953125
292,125.000000
293,125.000000
294,123.046875
295,126.953125
296,123.046875
297,121.093750
298,130.859375
299,126.953125
300,125.000000
301,126.953125
302,130.859375
303,119.140625
304,132.812500
305,138.671875
306,138.671875
307,134.765625
308,138.671875
309,134.765625
310,130.859375
311,136.718750
312,132.812500
313,142.578125
314,136.718750
315,136.718750
316,142.578125
317,146.484375
318,138.671875
319,142.578125
320,140.625000
321,142.578125
322,140.625000
323,136.718750
324,144.531250
325,142.578125
326,142.578125
327,142.578125
328,138.671875
329,142.578125
330,146.484375
331,144.531250
332,138.671875
333,138.671875
334,138.671875
335,146.484375
336,138.671875
337,140.625000
338,140.625000
339,142.578125
340,146.484375
341,140.625000
342,142.578125
343,142.578125
344,142.578125
345,146.484375
346,142.578125
347,142.578125
348,142.578125
349,138.671875
350,144.531250
351,142.578125
352,140.625000
353,142.578125
354,146.484375
355,138.671875
356,138.671875
357,142.578125
358,138.671875
359,146.484375
360,142.578125
361,142.578125
362,146.484375
363,146.484375
364,142.578125
365,142.578125
366,146.484375
367,142.578125
368,142.578125
369,142.578125
370,142.578125
371,142.578125
372,142.578125
373,146.484375
374,142.578125
375,138.671875
376,140.625000
377,144.531250
378,140.625000
379,138.671875
380,142.578125
381,140.625000
382,146.484375
383,138.671875
384,136.718750
385,140.625000
386,142.578125
387,140.625000
388,138.671875
389,138.671875
390,140.625000
391,140.625000
392,140.625000
393,138.671875
394,138.671875
395,132.812500
396,140.625000
397,140.625000
398,140.625000
399,138.671875
400,142.578125
401,138.671875
402,138.671875
403,138.671875
404,132.812500
405,138.671875
406,138.671875
407,138.671875
408,146.484375
409,140.625000
410,138.671875
411,140.625000
412,134.765625
413,134.765625
414,138.671875
415,136.718750
416,138.671875
417,138.671875
418,136.718750
419,138.671875
420,138.671875
421,134.765625
422,130.859375
423,128.906250
424,134.765625
425,130.859375
426,123.046875
427,126.953125
428,126.953125
429,126.953125
430,126.953125
431,123.046875
432,123.046875
433,125.000000
434,121.093750
435,119.140625
436,115.234375
437,111.328125
438,121.093750
439,115.234375
440,113.281250
441,115.234375
442,115.234375
443,111.328125
444,117.187500
445,115.234375
446,115.234375
447,107.421875
448,107.421875
449,109.375000
450,93.750000
451,107.421875
452,111.328125
453,105.468750
454,111.328125
455,109.375000
456,105.468750
457,111.328125
458,101.562500
459,105.468750
460,107.421875
461,107.421875
462,111.328125
463,111.328125
464,115.234375
465,107.421875
466,109.375000
467,111.328125
468,109.375000
469,111.328125
470,109.375000
471,111.328125
472,111.328125
473,105.468750
474,107.421875
475,111.328125
476,111.328125
477,109.375000
478,103.515625
479,103.515625
480,107.421875
481,103.515625
482,101.562500
483,101.562500
484,103.515625
485,111.328125
486,107.421875
487,99.609375
488,101.562500
489,101.562500
490,101.562500
491,99.609375
492,95.703125
493,103.515625
494,99.609375
495,105.468750
496,99.609375
497,103.515625
498,103.515625
499,91.796875
500,107.421875
501,105.468750
502,101.562500
503,103.515625
504,101.562500
505,103.515625
506,101.562500
507,105.468750
508,105.468750
509,107.421875
510,101.562500
511,103.515625
512,105.468750
513,103.515625
514,107.421875
515,105.468750
516,107.421875
517,107.421875
518,107.421875
519,99.609375
520,99.609375
521,105.468750
522,111.328125
523,111.328125
524,109.375000
525,105.468750
526,107.421875
527,111.328125
528,109.375000
529,109.375000
530,111.328125
531,107.421875
532,107.421875
533,111.328125
534,111.328125
535,111.328125
536,105.468750
537,113.281250
538,111.328125
539,105.468750
540,105.468750
541,107.421875
542,107.421875
543,109.375000
544,111.328125
545,103.515625
546,111.328125
547,107.421875
548,93.750000
549,107.421875
550,109.375000
551,107.421875
552,109.375000
553,111.328125
554,115.234375
555,115.234375
556,117.187500
557,115.234375
558,115.234375
559,117.187500
560,113.281250
561,121.093750
562,123.046875
563,121.093750
564,123.046875
565,115.234375
566,123.046875
567,119.140625
568,121.093750
569,121.093750
570,121.093750
571,121.093750
572,115.234375
573,121.093750
574,123.046875
575,125.000000
576,117.187500
577,121.093750
578,115.234375
579,111.328125
580,115.234375
581,107.421875
582,107.421875
583,119.140625
584,115.234375
585,115.234375
586,109.375000
587,109.375000
588,115.234375
589,111.328125
590,111.328125
591,109.375000
592,111.328125
593,109.375000
594,111.328125
595,109.375000
596,111.328125
597,105.468750
598,115.234375
599,113.281250
600,111.328125
601,109.375000
602,111.328125
603,107.421875
604,111.328125
605,111.328125
606,105.468750
607,115.234375
608,115.234375
609,113.281250
610,115.234375
611,119.140625
612,107.421875
613,115.234375
614,107.421875
615,111.328125
616,111.328125
617,109.375000
618,111.328125
619,117.187500
620,107.421875
621,115.234375
622,115.234375
623,107.421875
624,111.328125
625,111.328125
626,117.187500
627,111.328125
628,111.328125
629,115.234375
630,121.093750
631,115.234375
632,117.187500
633,115.234375
634,115.234375
635,123.046875
636,115.234375
637,119.140625
638,117.187500
639,115.234375
640,121.093750
641,119.140625
642,117.187500
643,121.093750
644,121.093750
645,123.046875
646,119.140625
647,121.093750
648,121.093750
649,117.187500
650,121.093750
651,121.093750
652,121.093750
653,123.046875
654,125.000000
