Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,54.69mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,68.359375
2,68.359375
3,68.359375
4,62.500000
5,74.218750
6,68.359375
7,68.359375
8,68.359375
9,70.312500
10,70.312500
11,68.359375
12,68.359375
13,74.218750
14,60.546875
15,64.453125
16,68.359375
17,70.312500
18,68.359375
19,76.171875
20,70.312500
21,70.312500
22,66.406250
23,68.359375
24,64.453125
25,70.312500
26,64.453125
27,68.359375
28,70.312500
29,70.312500
30,70.312500
31,72.265625
32,74.218750
33,70.312500
34,74.218750
35,70.312500
36,76.171875
37,68.359375
38,68.359375
39,76.171875
40,72.265625
41,64.453125
42,68.359375
43,76.171875
44,74.218750
45,70.312500
46,66.406250
47,70.312500
48,70.312500
49,70.312500
50,68.359375
51,68.359375
52,76.171875
53,72.265625
54,68.359375
55,68.359375
56,68.359375
57,68.359375
58,72.265625
59,70.312500
60,68.359375
61,72.265625
62,68.359375
63,68.359375
64,68.359375
65,70.312500
66,72.265625
67,68.359375
68,70.312500
69,68.359375
70,64.453125
71,70.312500
72,70.312500
73,70.312500
74,76.171875
75,76.171875
76,72.265625
77,74.218750
78,68.359375
79,76.171875
80,76.171875
81,68.359375
82,72.265625
83,68.359375
84,72.265625
85,76.171875
86,72.265625
87,70.312500
88,68.359375
89,68.359375
90,68.359375
91,70.312500
92,70.312500
93,62.500000
94,70.312500
95,70.312500
96,64.453125
97,64.453125
98,64.453125
99,68.359375
100,68.359375
101,62.500000
102,58.593750
103,58.593750
104,58.593750
105,56.640625
106,60.546875
107,56.640625
108,58.593750
109,52.734375
110,54.687500
111,52.734375
112,52.734375
113,52.734375
114,52.734375
115,48.828125
116,48.828125
117,52.734375
118,48.828125
119,48.828125
120,52.734375
121,52.734375
122,52.734375
123,56.640625
124,50.781250
125,52.734375
126,52.734375
127,52.734375
128,54.687500
129,52.734375
130,50.781250
131,52.734375
132,54.687500
133,58.593750
134,56.640625
135,58.593750
136,56.640625
137,54.687500
138,52.734375
139,52.734375
140,52.734375
141,46.875000
142,54.687500
143,52.734375
144,39.062500
145,46.875000
146,42.968750
147,48.828125
148,44.921875
149,37.109375
150,39.062500
151,44.921875
152,44.921875
153,46.875000
154,42.968750
155,42.968750
156,50.781250
157,42.968750
158,39.062500
159,42.968750
160,37.109375
161,46.875000
162,44.921875
163,48.828125
164,42.968750
165,42.968750
166,50.781250
167,48.828125
168,42.968750
169,42.968750
170,46.875000
171,44.921875
172,48.828125
173,48.828125
174,48.828125
175,52.734375
176,48.828125
177,46.875000
178,52.734375
179,48.828125
180,46.875000
181,50.781250
182,46.875000
183,48.828125
184,52.734375
185,56.640625
186,52.734375
187,54.687500
188,48.828125
189,58.593750
190,54.687500
191,52.734375
192,52.734375
193,60.546875
194,60.546875
195,60.546875
196,56.640625
197,58.593750
198,58.593750
199,56.640625
200,56.640625
201,50.781250
202,54.687500
203,54.687500
204,54.687500
205,48.828125
206,52.734375
207,52.734375
208,56.640625
209,54.687500
210,48.828125
211,52.734375
212,60.546875
213,60.546875
214,58.593750
215,58.593750
216,58.593750
217,52.734375
218,58.593750
219,52.734375
220,60.546875
221,58.593750
222,58.593750
223,58.593750
224,60.546875
225,58.593750
226,54.687500
227,58.593750
228,52.734375
229,46.875000
230,54.687500
231,56.640625
232,56.640625
233,44.921875
234,52.734375
235,52.734375
236,54.687500
237,46.875000
238,52.734375
239,52.734375
240,56.640625
241,56.640625
242,60.546875
243,52.734375
244,52.734375
245,52.734375
246,50.781250
247,50.781250
248,44.921875
249,48.828125
250,52.734375
251,44.921875
252,44.921875
253,44.921875
254,46.875000
255,48.828125
256,39.062500
257,41.015625
258,44.921875
259,46.875000
260,52.734375
261,48.828125
262,46.875000
263,48.828125
264,52.734375
265,52.734375
266,52.734375
267,54.687500
268,54.687500
269,52.734375
270,52.734375
271,52.734375
272,52.734375
273,52.734375
274,52.734375
275,56.640625
276,60.546875
277,68.359375
278,60.546875
279,60.546875
280,58.593750
281,60.546875
282,58.593750
283,60.546875
284,62.500000
285,56.640625
286,62.500000
287,64.453125
288,60.546875
289,64.453125
290,60.546875
291,60.546875
292,68.359375
293,68.359375
294,64.453125
295,62.500000
296,62.500000
297,70.312500
298,64.453125
299,64.453125
300,68.359375
301,68.359375
302,70.312500
303,70.312500
304,64.453125
305,68.359375
306,64.453125
307,70.312500
308,68.359375
309,68.359375
310,64.453125
311,68.359375
312,68.359375
313,70.312500
314,64.453125
315,64.453125
316,68.359375
317,68.359375
318,60.546875
319,64.453125
320,64.453125
321,62.500000
322,68.359375
323,64.453125
324,62.500000
325,64.453125
326,60.546875
327,58.593750
328,54.687500
329,52.734375
330,52.734375
331,48.828125
332,48.828125
333,48.828125
334,42.968750
335,52.734375
336,52.734375
337,48.828125
338,44.921875
339,52.734375
340,52.734375
341,52.734375
342,54.687500
343,54.687500
344,56.640625
345,58.593750
346,48.828125
347,52.734375
348,52.734375
349,56.640625
350,58.593750
351,46.875000
352,46.875000
353,52.734375
354,54.687500
355,52.734375
356,52.734375
357,52.734375
358,46.875000
359,52.734375
360,44.921875
361,46.875000
362,48.828125
363,54.687500
364,42.968750
365,42.968750
366,46.875000
367,42.968750
368,48.828125
369,52.734375
370,52.734375
371,52.734375
372,48.828125
373,48.828125
374,46.875000
375,48.828125
376,46.875000
377,52.734375
378,48.828125
379,42.968750
380,46.875000
381,48.828125
382,48.828125
383,46.875000
384,46.875000
385,48.828125
386,44.921875
387,41.015625
388,42.968750
389,44.921875
390,44.921875
391,46.875000
392,48.828125
393,42.968750
394,44.921875
395,48.828125
396,42.968750
397,46.875000
398,44.921875
399,46.875000
400,48.828125
401,52.734375
402,46.875000
403,48.828125
404,46.875000
405,48.828125
406,46.875000
407,48.828125
408,44.921875
409,48.828125
410,41.015625
411,46.875000
412,48.828125
413,46.875000
414,48.828125
415,44.921875
416,42.968750
417,44.921875
418,46.875000
419,42.968750
420,46.875000
421,46.875000
422,46.875000
423,50.781250
424,46.875000
425,48.828125
426,48.828125
427,46.875000
428,48.828125
429,48.828125
430,46.875000
431,48.828125
432,52.734375
433,50.781250
434,48.828125
435,48.828125
436,44.921875
437,42.968750
438,48.828125
439,50.781250
440,39.062500
441,42.968750
442,48.828125
443,46.875000
444,48.828125
445,48.828125
446,44.921875
447,48.828125
448,48.828125
449,46.875000
450,42.968750
451,39.062500
452,42.968750
453,48.828125
454,46.875000
455,48.828125
456,46.875000
457,52.734375
458,48.828125
459,46.875000
460,48.828125
461,48.828125
462,48.828125
463,52.734375
464,44.921875
465,44.921875
466,52.734375
467,48.828125
468,48.828125
469,54.687500
470,56.640625
471,52.734375
472,50.781250
473,52.734375
474,48.828125
475,52.734375
476,52.734375
477,52.734375
478,54.687500
479,56.640625
480,54.687500
481,52.734375
482,52.734375
483,52.734375
484,54.687500
485,50.781250
486,54.687500
487,52.734375
488,48.828125
489,52.734375
490,52.734375
491,48.828125
492,48.828125
493,52.734375
494,54.687500
495,56.640625
496,48.828125
497,48.828125
498,52.734375
499,52.734375
500,56.640625
501,60.546875
502,48.828125
503,52.734375
504,54.687500
505,46.875000
506,52.734375
507,52.734375
508,50.781250
509,52.734375
510,54.687500
511,48.828125
512,50.781250
513,58.593750
514,48.828125
515,54.687500
516,56.640625
517,52.734375
518,52.734375
519,52.734375
520,48.828125
521,46.875000
522,52.734375
523,52.734375
524,58.593750
525,60.546875
526,52.734375
527,52.734375
528,46.875000
529,52.734375
530,52.734375
531,54.687500
532,52.734375
533,56.640625
534,54.687500
535,44.921875
536,52.734375
537,54.687500
538,52.734375
539,44.921875
540,48.828125
541,46.875000
542,46.875000
543,46.875000
544,46.875000
545,44.921875
546,42.968750
547,48.828125
548,44.921875
549,41.015625
550,42.968750
551,46.875000
552,44.921875
553,37.109375
554,37.109375
555,41.015625
556,41.015625
557,37.109375
558,41.015625
559,44.921875
560,44.921875
561,44.921875
562,42.968750
563,44.921875
564,44.921875
565,44.921875
566,46.875000
567,48.828125
568,44.921875
569,42.968750
570,48.828125
571,44.921875
572,44.921875
573,48.828125
574,33.203125
575,42.968750
576,42.968750
577,42.968750
578,41.015625
579,44.921875
580,42.968750
581,42.968750
582,42.968750
583,41.015625
584,44.921875
585,46.875000
586,41.015625
587,41.015625
588,44.921875
589,44.921875
590,39.062500
591,41.015625
592,42.968750
593,42.968750
594,42.968750
595,42.968750
596,37.109375
597,44.921875
598,44.921875
599,41.015625
600,42.968750
601,37.109375
602,41.015625
603,42.968750
604,39.062500
605,37.109375
606,39.062500
607,39.062500
608,44.921875
609,44.921875
610,42.968750
611,44.921875
612,42.968750
613,39.062500
614,41.015625
615,41.015625
616,48.828125
617,42.968750
618,41.015625
619,46.875000
620,42.968750
621,37.109375
622,42.968750
623,42.968750
624,50.781250
625,50.781250
626,48.828125
627,48.828125
628,46.875000
629,42.968750
630,46.875000
631,46.875000
632,48.828125
633,52.734375
634,52.734375
635,48.828125
636,52.734375
637,52.734375
638,44.921875
639,48.828125
640,48.828125
641,46.875000
642,48.828125
643,52.734375
644,52.734375
645,52.734375
646,46.875000
647,48.828125
648,48.828125
649,48.828125
650,48.828125
651,44.921875
652,42.968750
653,46.875000
654,46.875000
