Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,37.11mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,146.484375
2,146.484375
3,138.671875
4,140.625000
5,142.578125
6,146.484375
7,142.578125
8,142.578125
9,142.578125
10,142.578125
11,142.578125
12,142.578125
13,142.578125
14,140.625000
15,140.625000
16,142.578125
17,140.625000
18,146.484375
19,142.578125
20,146.484375
21,146.484375
22,142.578125
23,140.625000
24,142.578125
25,138.671875
26,138.671875
27,142.578125
28,142.578125
29,146.484375
30,146.484375
31,144.531250
32,142.578125
33,146.484375
34,142.578125
35,146.484375
36,142.578125
37,144.531250
38,146.484375
39,140.625000
40,142.578125
41,140.625000
42,142.578125
43,146.484375
44,140.625000
45,142.578125
46,138.671875
47,138.671875
48,142.578125
49,140.625000
50,138.671875
51,138.671875
52,146.484375
53,142.578125
54,134.765625
55,136.718750
56,136.718750
57,146.484375
58,144.531250
59,138.671875
60,144.531250
61,136.718750
62,138.671875
63,134.765625
64,140.625000
65,138.671875
66,138.671875
67,144.531250
68,140.625000
69,140.625000
70,144.531250
71,138.671875
72,142.578125
73,144.531250
74,146.484375
75,144.531250
76,146.484375
77,142.578125
78,140.625000
79,146.484375
80,140.625000
81,142.578125
82,152.343750
83,142.578125
84,150.390625
85,146.484375
86,146.484375
87,146.484375
88,142.578125
89,142.578125
90,146.484375
91,144.531250
92,142.578125
93,144.531250
94,142.578125
95,146.484375
96,148.437500
97,142.578125
98,146.484375
99,146.484375
100,142.578125
101,140.625000
102,140.625000
103,142.578125
104,146.484375
105,146.484375
106,142.578125
107,140.625000
108,142.578125
109,142.578125
110,138.671875
111,140.625000
112,140.625000
113,142.578125
114,142.578125
115,138.671875
116,144.531250
117,136.718750
118,140.625000
119,140.625000
120,142.578125
121,142.578125
122,146.484375
123,144.531250
124,138.671875
125,142.578125
126,136.718750
127,142.578125
128,142.578125
129,142.578125
130,142.578125
131,146.484375
132,140.625000
133,142.578125
134,138.671875
135,140.625000
136,146.484375
137,140.625000
138,142.578125
139,142.578125
140,140.625000
141,140.625000
142,142.578125
143,146.484375
144,136.718750
145,142.578125
146,142.578125
147,142.578125
148,142.578125
149,136.718750
150,138.671875
151,142.578125
152,140.625000
153,140.625000
154,138.671875
155,140.625000
156,138.671875
157,140.625000
158,132.812500
159,138.671875
160,146.484375
161,138.671875
162,140.625000
163,140.625000
164,132.812500
165,146.484375
166,138.671875
167,140.625000
168,140.625000
169,140.625000
170,142.578125
171,142.578125
172,140.625000
173,136.718750
174,144.531250
175,138.671875
176,140.625000
177,142.578125
178,138.671875
179,142.578125
180,140.625000
181,140.625000
182,142.578125
183,140.625000
184,146.484375
185,140.625000
186,142.578125
187,142.578125
188,138.671875
189,142.578125
190,138.671875
191,142.578125
192,142.578125
193,140.625000
194,146.484375
195,146.484375
196,140.625000
197,142.578125
198,142.578125
199,146.484375
200,138.671875
201,138.671875
202,140.625000
203,140.625000
204,144.531250
205,138.671875
206,140.625000
207,140.625000
208,146.484375
209,140.625000
210,136.718750
211,138.671875
212,138.671875
213,140.625000
214,138.671875
215,142.578125
216,136.718750
217,134.765625
218,138.671875
219,138.671875
220,146.484375
221,140.625000
222,140.625000
223,146.484375
224,140.625000
225,138.671875
226,140.625000
227,136.718750
228,142.578125
229,142.578125
230,144.531250
231,146.484375
232,140.625000
233,146.484375
234,138.671875
235,142.578125
236,138.671875
237,142.578125
238,142.578125
239,140.625000
240,140.625000
241,142.578125
242,138.671875
243,140.625000
244,138.671875
245,144.531250
246,146.484375
247,138.671875
248,140.625000
249,140.625000
250,138.671875
251,146.484375
252,138.671875
253,138.671875
254,140.625000
255,146.484375
256,140.625000
257,134.765625
258,142.578125
259,140.625000
260,146.484375
261,140.625000
262,142.578125
263,140.625000
264,138.671875
265,142.578125
266,144.531250
267,142.578125
268,138.671875
269,142.578125
270,140.625000
271,138.671875
272,144.531250
273,142.578125
274,140.625000
275,146.484375
276,146.484375
277,148.437500
278,142.578125
279,142.578125
280,138.671875
281,138.671875
282,142.578125
283,142.578125
284,144.531250
285,142.578125
286,146.484375
287,142.578125
288,140.625000
289,142.578125
290,138.671875
291,140.625000
292,144.531250
293,146.484375
294,142.578125
295,146.484375
296,142.578125
297,146.484375
298,142.578125
299,140.625000
300,138.671875
301,142.578125
302,144.531250
303,142.578125
304,138.671875
305,138.671875
306,146.484375
307,146.484375
308,142.578125
309,138.671875
310,136.718750
311,144.531250
312,138.671875
313,134.765625
314,142.578125
315,146.484375
316,138.671875
317,136.718750
318,146.484375
319,140.625000
320,142.578125
321,142.578125
322,146.484375
323,142.578125
324,146.484375
325,140.625000
326,140.625000
327,140.625000
328,146.484375
329,142.578125
330,142.578125
331,146.484375
332,140.625000
333,142.578125
334,138.671875
335,142.578125
336,142.578125
337,140.625000
338,142.578125
339,142.578125
340,148.437500
341,144.531250
342,142.578125
343,146.484375
344,148.437500
345,142.578125
346,136.718750
347,140.625000
348,142.578125
349,142.578125
350,142.578125
351,142.578125
352,136.718750
353,146.484375
354,142.578125
355,142.578125
356,132.812500
357,138.671875
358,142.578125
359,138.671875
360,142.578125
361,138.671875
362,142.578125
363,140.625000
364,142.578125
365,140.625000
366,140.625000
367,140.625000
368,140.625000
369,142.578125
370,146.484375
371,138.671875
372,138.671875
373,140.625000
374,140.625000
375,140.625000
376,138.671875
377,140.625000
378,146.484375
379,140.625000
380,142.578125
381,140.625000
382,144.531250
383,140.625000
384,146.484375
385,140.625000
386,142.578125
387,146.484375
388,140.625000
389,142.578125
390,144.531250
391,146.484375
392,142.578125
393,142.578125
394,136.718750
395,142.578125
396,146.484375
397,142.578125
398,140.625000
399,140.625000
400,146.484375
401,142.578125
402,142.578125
403,132.812500
404,138.671875
405,140.625000
406,142.578125
407,138.671875
408,138.671875
409,136.718750
410,138.671875
411,142.578125
412,138.671875
413,138.671875
414,138.671875
415,138.671875
416,138.671875
417,142.578125
418,138.671875
419,140.625000
420,140.625000
421,140.625000
422,140.625000
423,138.671875
424,142.578125
425,142.578125
426,142.578125
427,138.671875
428,138.671875
429,136.718750
430,142.578125
431,144.531250
432,138.671875
433,146.484375
434,142.578125
435,138.671875
436,142.578125
437,138.671875
438,142.578125
439,142.578125
440,142.578125
441,142.578125
442,140.625000
443,144.531250
444,146.484375
445,140.625000
446,142.578125
447,138.671875
448,142.578125
449,140.625000
450,138.671875
451,140.625000
452,142.578125
453,144.531250
454,140.625000
455,136.718750
456,138.671875
457,142.578125
458,140.625000
459,138.671875
460,138.671875
461,138.671875
462,140.625000
463,142.578125
464,134.765625
465,146.484375
466,142.578125
467,138.671875
468,142.578125
469,134.765625
470,140.625000
471,140.625000
472,138.671875
473,138.671875
474,138.671875
475,138.671875
476,138.671875
477,146.484375
478,140.625000
479,146.484375
480,140.625000
481,138.671875
482,142.578125
483,144.531250
484,140.625000
485,138.671875
486,142.578125
487,142.578125
488,138.671875
489,138.671875
490,142.578125
491,142.578125
492,142.578125
493,140.625000
494,138.671875
495,146.484375
496,142.578125
497,140.625000
498,140.625000
499,140.625000
500,142.578125
501,142.578125
502,138.671875
503,138.671875
504,146.484375
505,140.625000
506,138.671875
507,138.671875
508,146.484375
509,142.578125
510,142.578125
511,138.671875
512,140.625000
513,138.671875
514,142.578125
515,140.625000
516,136.718750
517,142.578125
518,140.625000
519,138.671875
520,144.531250
521,138.671875
522,140.625000
523,140.625000
524,146.484375
525,142.578125
526,142.578125
527,140.625000
528,142.578125
529,142.578125
530,138.671875
531,144.531250
532,142.578125
533,140.625000
534,146.484375
535,142.578125
536,138.671875
537,142.578125
538,142.578125
539,142.578125
540,140.625000
541,140.625000
542,146.484375
543,142.578125
544,138.671875
545,134.765625
546,142.578125
547,138.671875
548,140.625000
549,140.625000
550,142.578125
551,142.578125
552,140.625000
553,140.625000
554,138.671875
555,138.671875
556,146.484375
557,142.578125
558,134.765625
559,136.718750
560,142.578125
561,140.625000
562,142.578125
563,146.484375
564,142.578125
565,138.671875
566,142.578125
567,142.578125
568,140.625000
569,140.625000
570,138.671875
571,146.484375
572,144.531250
573,142.578125
574,138.671875
575,140.625000
576,138.671875
577,144.531250
578,146.484375
579,142.578125
580,142.578125
581,146.484375
582,140.625000
583,146.484375
584,142.578125
585,146.484375
586,142.578125
587,144.531250
588,146.484375
589,142.578125
590,138.671875
591,140.625000
592,142.578125
593,146.484375
594,142.578125
595,142.578125
596,142.578125
597,140.625000
598,146.484375
599,146.484375
600,142.578125
601,142.578125
602,142.578125
603,142.578125
604,142.578125
605,140.625000
606,138.671875
607,140.625000
608,144.531250
609,142.578125
610,138.671875
611,142.578125
612,142.578125
613,138.671875
614,136.718750
615,142.578125
616,142.578125
617,142.578125
618,142.578125
619,140.625000
620,138.671875
621,140.625000
622,146.484375
623,138.671875
624,142.578125
625,140.625000
626,138.671875
627,142.578125
628,138.671875
629,138.671875
630,123.046875
631,140.625000
632,146.484375
633,138.671875
634,140.625000
635,140.625000
636,146.484375
637,144.531250
638,142.578125
639,138.671875
640,138.671875
641,146.484375
642,146.484375
643,142.578125
644,142.578125
645,146.484375
646,146.484375
647,138.671875
648,142.578125
649,146.484375
650,142.578125
651,142.578125
652,140.625000
653,150.390625
654,146.484375
