Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,62.50mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,111.328125
2,111.328125
3,107.421875
4,111.328125
5,109.375000
6,105.468750
7,107.421875
8,105.468750
9,105.468750
10,105.468750
11,107.421875
12,109.375000
13,109.375000
14,109.375000
15,107.421875
16,107.421875
17,105.468750
18,99.609375
19,95.703125
20,107.421875
21,101.562500
22,103.515625
23,107.421875
24,101.562500
25,101.562500
26,103.515625
27,101.562500
28,101.562500
29,101.562500
30,101.562500
31,107.421875
32,103.515625
33,95.703125
34,105.468750
35,99.609375
36,101.562500
37,103.515625
38,105.468750
39,103.515625
40,95.703125
41,101.562500
42,101.562500
43,103.515625
44,99.609375
45,95.703125
46,101.562500
47,101.562500
48,97.656250
49,95.703125
50,99.609375
51,105.468750
52,101.562500
53,95.703125
54,97.656250
55,99.609375
56,99.609375
57,95.703125
58,95.703125
59,99.609375
60,99.609375
61,99.609375
62,95.703125
63,95.703125
64,95.703125
65,95.703125
66,99.609375
67,99.609375
68,97.656250
69,99.609375
70,95.703125
71,93.750000
72,95.703125
73,95.703125
74,99.609375
75,99.609375
76,93.750000
77,93.750000
78,99.609375
79,97.656250
80,93.750000
81,101.562500
82,95.703125
83,95.703125
84,99.609375
85,95.703125
86,99.609375
87,99.609375
88,99.609375
89,99.609375
90,95.703125
91,99.609375
92,89.843750
93,97.656250
94,99.609375
95,99.609375
96,91.796875
97,99.609375
98,95.703125
99,95.703125
100,93.750000
101,93.750000
102,99.609375
103,101.562500
104,97.656250
105,95.703125
106,95.703125
107,95.703125
108,95.703125
109,91.796875
110,91.796875
111,89.843750
112,99.609375
113,95.703125
114,93.750000
115,95.703125
116,95.703125
117,95.703125
118,91.796875
119,93.750000
120,93.750000
121,95.703125
122,95.703125
123,91.796875
124,99.609375
125,105.468750
126,91.796875
127,99.609375
128,91.796875
129,95.703125
130,99.609375
131,95.703125
132,99.609375
133,103.515625
134,97.656250
135,103.515625
136,105.468750
137,99.609375
138,103.515625
139,103.515625
140,97.656250
141,101.562500
142,103.515625
143,105.468750
144,99.609375
145,101.562500
146,103.515625
147,99.609375
148,99.609375
149,101.562500
150,101.562500
151,99.609375
152,95.703125
153,97.656250
154,101.562500
155,105.468750
156,99.609375
157,95.703125
158,99.609375
159,101.562500
160,99.609375
161,103.515625
162,99.609375
163,101.562500
164,99.609375
165,105.468750
166,99.609375
167,99.609375
168,99.609375
169,97.656250
170,103.515625
171,103.515625
172,101.562500
173,109.375000
174,103.515625
175,95.703125
176,101.562500
177,99.609375
178,103.515625
179,107.421875
180,103.515625
181,103.515625
182,105.468750
183,101.562500
184,109.375000
185,107.421875
186,99.609375
187,105.468750
188,101.562500
189,101.562500
190,105.468750
191,99.609375
192,103.515625
193,105.468750
194,99.609375
195,99.609375
196,99.609375
197,103.515625
198,103.515625
199,101.562500
200,105.468750
201,101.562500
202,105.468750
203,101.562500
204,101.562500
205,105.468750
206,105.468750
207,103.515625
208,99.609375
209,99.609375
210,99.609375
211,103.515625
212,103.515625
213,101.562500
214,103.515625
215,95.703125
216,103.515625
217,99.609375
218,103.515625
219,101.562500
220,101.562500
221,93.750000
222,107.421875
223,105.468750
224,105.468750
225,109.375000
226,103.515625
227,105.468750
228,107.421875
229,101.562500
230,103.515625
231,109.375000
232,105.468750
233,107.421875
234,111.328125
235,105.468750
236,107.421875
237,105.468750
238,107.421875
239,107.421875
240,107.421875
241,103.515625
242,105.468750
243,101.562500
244,107.421875
245,103.515625
246,105.468750
247,103.515625
248,107.421875
249,109.375000
250,101.562500
251,105.468750
252,101.562500
253,105.468750
254,101.562500
255,99.609375
256,95.703125
257,105.468750
258,111.328125
259,101.562500
260,103.515625
261,99.609375
262,103.515625
263,103.515625
264,103.515625
265,95.703125
266,103.515625
267,103.515625
268,103.515625
269,103.515625
270,107.421875
271,109.375000
272,107.421875
273,101.562500
274,105.468750
275,99.609375
276,95.703125
277,105.468750
278,103.515625
279,107.421875
280,109.375000
281,107.421875
282,105.468750
283,105.468750
284,101.562500
285,105.468750
286,107.421875
287,111.328125
288,109.375000
289,107.421875
290,107.421875
291,111.328125
292,109.375000
293,107.421875
294,101.562500
295,109.375000
296,107.421875
297,107.421875
298,99.609375
299,101.562500
300,105.468750
301,105.468750
302,109.375000
303,99.609375
304,109.375000
305,109.375000
306,107.421875
307,103.515625
308,101.562500
309,101.562500
310,105.468750
311,105.468750
312,105.468750
313,103.515625
314,99.609375
315,107.421875
316,105.468750
317,107.421875
318,101.562500
319,105.468750
320,107.421875
321,101.562500
322,101.562500
323,105.468750
324,107.421875
325,107.421875
326,109.375000
327,111.328125
328,107.421875
329,111.328125
330,105.468750
331,103.515625
332,111.328125
333,105.468750
334,105.468750
335,109.375000
336,105.468750
337,107.421875
338,109.375000
339,107.421875
340,111.328125
341,107.421875
342,109.375000
343,109.375000
344,105.468750
345,107.421875
346,115.234375
347,109.375000
348,107.421875
349,107.421875
350,107.421875
351,105.468750
352,111.328125
353,105.468750
354,105.468750
355,99.609375
356,107.421875
357,115.234375
358,103.515625
359,105.468750
360,107.421875
361,111.328125
362,107.421875
363,107.421875
364,107.421875
365,99.609375
366,107.421875
367,105.468750
368,103.515625
369,105.468750
370,105.468750
371,107.421875
372,109.375000
373,107.421875
374,105.468750
375,111.328125
376,103.515625
377,107.421875
378,109.375000
379,109.375000
380,111.328125
381,111.328125
382,107.421875
383,109.375000
384,107.421875
385,111.328125
386,115.234375
387,105.468750
388,109.375000
389,107.421875
390,101.562500
391,113.281250
392,107.421875
393,109.375000
394,109.375000
395,111.328125
396,107.421875
397,107.421875
398,109.375000
399,111.328125
400,111.328125
401,111.328125
402,103.515625
403,107.421875
404,111.328125
405,109.375000
406,105.468750
407,105.468750
408,115.234375
409,107.421875
410,107.421875
411,101.562500
412,111.328125
413,107.421875
414,105.468750
415,107.421875
416,103.515625
417,111.328125
418,111.328125
419,111.328125
420,109.375000
421,109.375000
422,109.375000
423,107.421875
424,111.328125
425,107.421875
426,107.421875
427,113.281250
428,111.328125
429,111.328125
430,113.281250
431,103.515625
432,109.375000
433,105.468750
434,107.421875
435,111.328125
436,109.375000
437,111.328125
438,107.421875
439,115.234375
440,107.421875
441,109.375000
442,115.234375
443,107.421875
444,107.421875
445,107.421875
446,111.328125
447,111.328125
448,109.375000
449,103.515625
450,107.421875
451,111.328125
452,111.328125
453,105.468750
454,107.421875
455,109.375000
456,111.328125
457,109.375000
458,105.468750
459,107.421875
460,109.375000
461,109.375000
462,109.375000
463,107.421875
464,111.328125
465,111.328125
466,107.421875
467,107.421875
468,107.421875
469,109.375000
470,109.375000
471,109.375000
472,107.421875
473,111.328125
474,115.234375
475,107.421875
476,109.375000
477,105.468750
478,109.375000
479,111.328125
480,105.468750
481,111.328125
482,115.234375
483,113.281250
484,111.328125
485,107.421875
486,111.328125
487,111.328125
488,109.375000
489,111.328125
490,111.328125
491,111.328125
492,111.328125
493,101.562500
494,111.328125
495,109.375000
496,107.421875
497,109.375000
498,109.375000
499,109.375000
500,109.375000
501,109.375000
502,109.375000
503,111.328125
504,105.468750
505,107.421875
506,101.562500
507,111.328125
508,109.375000
509,103.515625
510,105.468750
511,107.421875
512,105.468750
513,105.468750
514,105.468750
515,109.375000
516,109.375000
517,111.328125
518,107.421875
519,111.328125
520,111.328125
521,101.562500
522,109.375000
523,105.468750
524,103.515625
525,111.328125
526,111.328125
527,115.234375
528,115.234375
529,109.375000
530,105.468750
531,111.328125
532,111.328125
533,103.515625
534,111.328125
535,107.421875
536,111.328125
537,109.375000
538,109.375000
539,111.328125
540,111.328125
541,107.421875
542,105.468750
543,111.328125
544,95.703125
545,111.328125
546,107.421875
547,111.328125
548,111.328125
549,115.234375
550,115.234375
551,109.375000
552,99.609375
553,107.421875
554,111.328125
555,111.328125
556,107.421875
557,105.468750
558,105.468750
559,111.328125
560,109.375000
561,105.468750
562,111.328125
563,101.562500
564,109.375000
565,111.328125
566,107.421875
567,107.421875
568,109.375000
569,105.468750
570,107.421875
571,109.375000
572,115.234375
573,109.375000
574,115.234375
575,107.421875
576,109.375000
577,107.421875
578,105.468750
579,107.421875
580,109.375000
581,109.375000
582,109.375000
583,119.140625
584,111.328125
585,111.328125
586,109.375000
587,107.421875
588,111.328125
589,111.328125
590,111.328125
591,111.328125
592,111.328125
593,111.328125
594,109.375000
595,107.421875
596,115.234375
597,111.328125
598,107.421875
599,105.468750
600,107.421875
601,111.328125
602,109.375000
603,107.421875
604,105.468750
605,115.234375
606,115.234375
607,113.281250
608,105.468750
609,105.468750
610,111.328125
611,105.468750
612,107.421875
613,107.421875
614,107.421875
615,111.328125
616,105.468750
617,107.421875
618,111.328125
619,107.421875
620,107.421875
621,105.468750
622,103.515625
623,107.421875
624,105.468750
625,107.421875
626,109.375000
627,111.328125
628,111.328125
629,115.234375
630,109.375000
631,109.375000
632,111.328125
633,107.421875
634,115.234375
635,113.281250
636,109.375000
637,111.328125
638,107.421875
639,107.421875
640,111.328125
641,109.375000
642,109.375000
643,107.421875
644,117.187500
645,115.234375
646,103.515625
647,109.375000
648,111.328125
649,111.328125
650,109.375000
651,107.421875
652,115.234375
653,109.375000
654,113.281250
